SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Wagga Wagga - West,97,47,412,149,266,430,0,62,39,144,1651
Wagga Wagga Region,43,31,396,201,347,407,0,41,49,149,1672
Berry - Kangaroo Valley,53,27,204,97,124,143,0,7,22,64,735
Callala Bay - Currarong,11,13,59,39,56,79,0,5,16,22,297
Culburra Beach,8,16,53,57,91,111,0,20,10,49,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,3
Huskisson - Vincentia,32,15,128,55,75,99,0,7,14,21,438
North Nowra - Bomaderry,62,51,333,225,364,423,5,46,63,123,1698
Nowra,65,58,320,274,569,680,7,118,76,236,2411
St Georges Basin - Erowal Bay,18,28,166,164,328,413,3,55,58,78,1322
Sussex Inlet - Berrara,8,3,43,30,65,77,0,12,15,27,280
Tomerong - Wandandian - Woollamia,17,10,56,39,76,84,0,6,12,30,333
Ulladulla,38,41,222,169,300,389,0,35,57,100,1349
Ulladulla Region,9,13,65,37,84,101,0,9,22,47,391
Bowral,83,35,285,144,123,215,0,18,34,74,1013
Hill Top - Colo Vale,11,16,119,111,167,233,4,22,28,45,758
Mittagong,64,19,203,126,178,194,4,28,39,72,918
Moss Vale - Berrima,68,31,216,128,227,261,0,31,42,107,1113
Robertson - Fitzroy Falls,18,11,97,42,58,70,0,6,18,27,346
Southern Highlands,28,16,142,67,96,130,0,10,26,45,550
Baulkham Hills (East),616,112,1305,431,277,535,0,19,88,137,3517
Baulkham Hills (West) - Bella Vista,420,65,993,326,177,369,0,5,92,93,2539
Glenhaven,45,20,222,91,50,99,0,0,13,24,560
West Pennant Hills,254,34,625,139,48,197,0,10,34,40,1391
Castle Hill - Central,169,38,453,157,70,171,0,4,29,64,1153
Castle Hill - East,89,18,192,49,25,62,0,3,5,12,449
Castle Hill - North,189,43,487,206,96,221,0,4,35,46,1332
Castle Hill - South,197,61,521,151,97,175,0,6,35,59,1306
