SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Freshwater - Brookvale,1926,1455,150,73,260,3863
Manly Vale - Allambie Heights,870,1277,91,63,103,2399
Narrabeen - Collaroy,1474,1613,150,69,210,3515
Terrey Hills - Duffys Forest,109,199,11,9,25,351
Camden - Ellis Lane,473,911,81,53,45,1565
Elderslie - Harrington Park,908,1911,120,92,122,3150
Mount Annan - Currans Hill,1471,2827,164,131,193,4783
Bradbury - Wedderburn,950,1454,154,72,168,2793
Campbelltown - Woodbine,1104,1244,111,54,179,2694
Claymore - Eagle Vale - Raby,1101,1460,117,69,198,2946
Holsworthy Military Area,0,0,0,0,0,0
Ingleburn - Denham Court,1126,1478,134,41,183,2965
Leumeah - Minto Heights,902,1186,99,46,123,2356
Macquarie Fields - Glenfield,1321,1856,126,51,248,3600
Minto - St Andrews,1037,1619,113,46,145,2954
Rosemeadow - Glen Alpine,999,1382,121,70,210,2779
Bargo,203,419,26,23,47,716
Douglas Park - Appin,400,766,55,49,64,1330
Picton - Tahmoor - Buxton,645,1257,89,49,139,2181
The Oaks - Oakdale,343,646,60,20,56,1126
Blackheath - Megalong Valley,180,293,19,25,37,562
Blaxland - Warrimoo - Lapstone,721,1301,91,82,64,2259
Blue Mountains - North,0,0,0,0,0,0
Katoomba - Leura,599,613,66,60,110,1442
Lawson - Hazelbrook - Linden,397,763,48,55,57,1317
Springwood - Winmalee,742,1438,122,97,75,2467
Wentworth Falls,200,316,18,14,38,586
Blue Mountains - South,0,0,0,0,0,0
Cambridge Park,825,1191,135,70,114,2327
Castlereagh - Cranebrook,1334,2114,180,112,213,3954
Emu Plains - Leonay,595,1077,86,74,197,2011
Glenmore Park - Regentville,1010,1894,114,107,127,3253
Jamisontown - South Penrith,923,1292,108,70,152,2543
Kingswood - Werrington,1248,1564,159,68,187,3227
Mulgoa - Luddenham - Orchard Hills,448,742,58,39,93,1382
Penrith,887,835,91,27,143,1981
Warragamba - Silverdale,190,393,19,14,32,653
Richmond - Clarendon,715,870,62,38,107,1797
Windsor - Bligh Park,764,1125,101,58,104,2155
Yarramundi - Londonderry,244,415,34,22,229,942
Erskine Park,295,434,31,27,35,814
St Clair,1032,1531,127,53,157,2902
Colyton - Oxley Park,626,789,87,30,125,1657
St Marys - North St Marys,924,1084,108,44,215,2376
Homebush Bay - Silverwater,2160,1381,116,31,632,4315
Rookwood Cemetery,0,0,0,0,0,0
Auburn - Central,1238,1031,64,25,175,2534
Auburn - North,907,750,34,16,144,1850
Auburn - South,525,556,31,7,69,1193
Berala,645,558,45,6,54,1307
Lidcombe,1872,1157,103,24,220,3377
Regents Park,291,322,15,3,45,682
Carlingford,1350,2002,101,58,128,3636
Ermington - Rydalmere,1331,1588,102,53,162,3236
Oatlands - Dundas Valley,1121,1278,98,43,148,2687
Chester Hill - Sefton,949,1127,76,31,168,2353
Fairfield - East,962,880,64,18,186,2107
Granville - Clyde,1664,1354,100,21,288,3435
Greystanes - Pemulwuy,1357,2153,122,66,179,3872
Guildford - South Granville,1275,1332,117,33,324,3077
Guildford West - Merrylands West,1300,1472,103,33,210,3123
Merrylands - Holroyd,2046,2126,114,45,254,4587
Smithfield Industrial,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0
North Parramatta,2285,1691,122,40,418,4560
North Rocks,278,615,26,19,26,963
Northmead,1975,2024,92,48,350,4489
Parramatta - Rosehill,3743,2658,115,22,678,7217
Toongabbie - Constitution Hill,1226,1577,112,51,173,3136
Winston Hills,516,856,53,41,35,1497
Pendle Hill - Girraween,735,1190,43,16,136,2120
Wentworthville - Westmead,1155,1463,58,26,141,2838
Epping - North Epping,1804,1836,101,62,131,3930
Pennant Hills - Cheltenham,795,1301,59,63,66,2293
Eastwood - Denistone,1758,1616,92,41,157,3661
Gladesville - Huntleys Point,1024,918,70,23,144,2180
Hunters Hill - Woolwich,398,545,40,17,61,1065
Macquarie Park - Marsfield,2412,1320,97,29,203,4070
North Ryde - East Ryde,645,822,47,30,54,1595
West Ryde - Meadowbank,2267,1455,101,31,163,4016
Putney,159,230,10,10,16,431
Ryde,2410,1847,109,55,276,4698
Ashcroft - Busby - Miller,840,998,80,34,259,2210
Austral - Greendale,387,497,37,16,90,1024
Cobbitty - Leppington,1086,1677,96,63,227,3141
Badgerys Creek,0,3,0,0,3,6
Cecil Hills,391,424,36,9,45,913
Green Valley,742,797,71,13,95,1721
Hinchinbrook,749,909,55,19,76,1810
Hoxton Park - Carnes Hill - Horningsea Park,697,1049,58,22,87,1921
West Hoxton - Middleton Grange,902,1415,73,44,138,2576
Bonnyrigg Heights - Bonnyrigg,967,969,69,21,115,2139
Bossley Park - Abbotsbury,1095,1004,74,16,93,2286
Cabramatta - Lansvale,1798,1512,64,14,243,3632
Cabramatta West - Mount Pritchard,971,1107,63,28,155,2324
Canley Vale - Canley Heights,1368,1313,95,21,180,2971
Edensor Park,575,560,40,12,50,1240
Fairfield,1349,975,70,17,160,2583
Fairfield - West,1264,1118,86,20,147,2634
Greenfield Park - Prairiewood,480,481,26,12,47,1038
Horsley Park - Kemps Creek,195,229,19,7,35,482
Smithfield - Wetherill Park,1044,1079,87,34,132,2372
St Johns Park - Wakeley,662,597,55,16,62,1391
Wetherill Park Industrial,0,0,0,0,0,0
Casula,883,1096,86,35,159,2249
Chipping Norton - Moorebank,1019,1525,77,50,134,2815
Holsworthy - Wattle Grove,1157,1807,81,68,141,3259
Liverpool,1823,1846,119,24,627,4436
Lurnea - Cartwright,641,725,44,18,156,1590
Prestons - Edmondson Park,967,1600,91,43,138,2836
Warwick Farm,443,364,17,8,153,989
Gymea - Grays Point,797,1232,77,58,70,2233
Miranda - Yowie Bay,973,1266,91,39,125,2492
Sylvania - Taren Point,622,1000,59,21,98,1801
Caringbah,790,926,49,40,129,1941
Caringbah South,391,822,39,40,41,1339
Cronulla - Kurnell - Bundeena,1870,1289,198,66,322,3745
Lilli Pilli - Port Hacking - Dolans Bay,86,191,11,15,13,310
Woolaware - Burraneer,332,479,37,30,36,909
Heathcote - Waterfall,234,455,23,22,20,758
Illawong - Alfords Point,427,602,47,22,26,1125
Menai - Lucas Heights - Woronora,820,1409,111,66,87,2488
Oyster Bay - Como - Jannali,797,1660,84,76,81,2697
Royal National Park,7,4,0,0,5,8
Sutherland - Kirrawee,1510,1550,146,65,171,3440
Engadine,648,1510,97,73,46,2368
Loftus - Yarrawarrah,287,551,30,33,26,925
Woronora Heights,116,238,13,13,6,390
Migratory - Offshore - Shipping (NSW),17,14,0,0,5,34
No Usual Address (NSW),903,269,69,13,461,1716
