SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Merewether - The Junction,1552,92,21,0,20,18,17,44,14,0,56,1834
Newcastle - Cooks Hill,1293,106,18,29,39,42,21,73,26,0,124,1765
Newcastle Port - Kooragang,5,0,0,0,0,0,0,0,0,0,0,5
Shortland - Jesmond,824,19,10,53,105,169,103,18,46,0,62,1406
Stockton - Fullerton Cove,634,23,4,0,12,3,0,9,7,0,46,740
Wallsend - Elermore Vale,2029,38,20,46,65,90,87,29,22,0,102,2537
Waratah - North Lambton,1340,51,22,23,49,41,56,29,18,5,58,1686
Wickham - Carrington - Tighes Hill,1215,49,20,6,23,14,13,27,18,0,73,1460
Ballina,1337,59,9,3,39,27,31,24,8,0,126,1654
Ballina Region,1424,60,0,0,27,13,9,18,14,0,128,1700
Bangalow,492,58,4,5,10,10,5,22,4,0,90,702
Brunswick Heads - Ocean Shores,772,74,10,15,8,9,6,40,11,0,105,1047
Byron Bay,890,168,48,10,27,28,4,79,13,0,254,1510
Evans Head,417,9,0,0,9,5,3,3,0,0,62,501
Lennox Head - Skennars Head,748,74,11,6,26,7,0,16,13,0,49,948
Mullumbimby,604,69,11,10,15,22,0,28,7,0,128,892
Casino,1122,7,0,0,30,6,5,11,3,0,98,1288
Casino Region,514,16,0,0,17,7,0,4,0,0,69,628
Goonellabah,1339,26,9,7,37,21,16,16,7,0,112,1594
Kyogle,538,9,0,0,14,3,9,5,3,0,64,640
Lismore,1537,45,9,4,42,13,18,17,14,0,160,1862
Lismore Region,1293,61,12,6,24,13,0,24,14,0,175,1614
Kingscliff - Fingal Head,1253,72,9,4,19,15,5,28,15,0,102,1528
Murwillumbah,782,33,5,5,23,3,17,13,3,0,59,941
Murwillumbah Region,738,34,11,0,13,9,9,11,7,0,113,945
Pottsville,1290,82,14,0,35,14,9,21,13,0,96,1574
Tweed Heads,1525,69,21,6,76,49,32,67,15,6,183,2038
Banora Point,1323,38,6,0,52,21,18,17,8,0,72,1553
Terranora - North Tumblegum,308,16,0,0,3,0,0,6,0,0,25,359
Tweed Heads South,554,19,5,0,27,32,18,7,4,0,55,732
Griffith (NSW),1730,30,15,30,72,106,303,17,28,0,239,2565
Griffith Region,1163,26,5,0,33,27,37,5,12,0,176,1492
Leeton,895,9,4,0,26,12,33,7,8,0,97,1087
Narrandera,519,7,0,0,10,3,10,3,3,0,77,625
Tumbarumba,267,6,0,0,7,0,0,0,0,0,32,319
Tumut,574,11,4,0,9,0,9,6,14,0,60,691
Tumut Region,391,3,0,0,8,20,5,3,7,0,42,485
Cootamundra,645,9,3,0,16,6,7,8,3,0,55,743
Gundagai,322,5,0,0,4,3,5,0,0,0,45,380
Junee,481,3,0,0,10,30,4,0,0,0,62,592
Temora,558,8,0,0,13,3,4,4,0,0,53,648
Wagga Wagga - East,1765,36,10,29,56,30,52,13,15,0,104,2114
Wagga Wagga - North,490,10,0,6,6,13,31,3,6,0,27,602
Wagga Wagga - South,2377,33,6,27,91,35,93,15,50,3,149,2874
Wagga Wagga - West,1258,16,5,10,37,43,107,9,28,0,130,1651
Wagga Wagga Region,1444,26,4,0,12,7,15,7,7,0,145,1672
Berry - Kangaroo Valley,597,30,5,4,9,4,0,6,0,0,64,735
Callala Bay - Currarong,260,8,5,0,4,0,0,0,0,0,17,297
Culburra Beach,356,10,0,0,8,6,5,6,0,0,42,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,3
Huskisson - Vincentia,356,22,0,0,5,9,7,11,3,0,24,438
North Nowra - Bomaderry,1421,41,9,0,45,14,25,23,10,4,110,1698
Nowra,1980,35,9,9,65,27,54,16,11,0,215,2411
St Georges Basin - Erowal Bay,1173,20,12,0,25,3,4,15,6,0,70,1322
Sussex Inlet - Berrara,234,0,3,0,3,4,3,3,0,0,28,280
Tomerong - Wandandian - Woollamia,289,8,0,0,3,0,0,3,0,0,26,333
Ulladulla,1142,41,10,0,21,10,12,8,8,0,95,1349
Ulladulla Region,311,11,0,0,8,3,0,3,0,0,49,391
Bowral,768,46,17,6,29,18,43,14,18,0,55,1013
Hill Top - Colo Vale,667,25,8,0,9,0,0,4,5,0,46,758
Mittagong,726,27,9,0,22,8,28,13,11,0,65,918
Moss Vale - Berrima,885,24,4,5,28,14,31,9,7,0,95,1113
Robertson - Fitzroy Falls,288,7,0,0,5,0,0,3,0,0,30,346
Southern Highlands,466,20,4,0,6,6,0,9,6,0,33,550
Baulkham Hills (East),1598,116,61,155,226,689,457,52,56,4,111,3517
Baulkham Hills (West) - Bella Vista,1200,95,58,72,137,405,371,71,55,0,72,2539
Glenhaven,435,20,7,7,14,20,14,4,13,0,23,560
West Pennant Hills,682,44,20,42,58,324,114,29,46,0,42,1391
Castle Hill - Central,515,39,26,61,60,232,109,33,27,0,45,1153
Castle Hill - East,176,18,7,8,31,123,58,4,18,0,10,449
Castle Hill - North,694,49,31,42,81,271,66,21,40,0,36,1332
Castle Hill - South,594,43,24,50,84,283,118,31,29,0,47,1306
Castle Hill - West,304,32,4,33,67,105,97,7,11,0,23,680
Cherrybrook,761,72,31,60,130,441,376,55,68,0,57,2050
Kellyville,1794,119,51,154,240,408,350,60,105,5,94,3388
Dural - Kenthurst - Wisemans Ferry,1604,83,36,46,58,101,55,32,53,0,118,2186
Galston - Laughtondale,426,21,7,5,13,13,0,7,4,0,21,524
Bilpin - Colo - St Albans,220,8,0,0,0,3,0,0,5,0,32,282
