SA2,Never married,Widowed,Divorced,Separated,Married,Total
Caringbah South,328,3,50,27,925,1339
Cronulla - Kurnell - Bundeena,1896,4,205,112,1526,3745
Lilli Pilli - Port Hacking - Dolans Bay,76,0,16,4,219,310
Woolaware - Burraneer,309,0,42,22,539,909
Heathcote - Waterfall,213,5,41,23,472,758
Illawong - Alfords Point,374,4,49,21,671,1125
Menai - Lucas Heights - Woronora,727,8,128,67,1559,2488
Oyster Bay - Como - Jannali,651,9,104,64,1865,2697
Royal National Park,3,0,0,0,7,8
Sutherland - Kirrawee,1274,7,183,106,1865,3440
Engadine,586,4,116,81,1575,2368
Loftus - Yarrawarrah,260,3,23,25,620,925
Woronora Heights,101,0,13,9,263,390
Migratory - Offshore - Shipping (NSW),18,0,0,0,18,34
No Usual Address (NSW),1211,15,83,98,306,1716
Alfredton,458,9,98,85,978,1626
Ballarat,666,4,72,54,664,1456
Ballarat - North,1318,12,131,114,1436,3018
Ballarat - South,1645,16,192,159,1313,3323
Buninyong,231,0,47,20,485,783
