SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Moree,29,339,252,52,3,13,3,426,1110
Moree Region,75,18,8,123,65,106,6,261,651
Narrabri,47,246,244,38,25,12,6,269,891
Narrabri Region,42,79,12,72,65,53,3,223,550
Gunnedah,45,309,304,7,12,85,5,384,1154
Gunnedah Region,35,17,14,109,38,53,4,152,421
Quirindi,36,103,74,84,78,82,4,350,812
Tamworth - East,86,319,1138,134,14,38,10,775,2513
Tamworth - North,56,352,841,100,8,21,26,565,1969
Tamworth - West,17,31,329,27,8,14,4,336,763
Tamworth Region,105,132,187,692,186,95,25,584,2005
Belmont - Bennetts Green,80,103,375,713,77,51,8,543,1955
Belmont South - Blacksmiths,20,27,87,221,18,17,4,170,574
Charlestown - Dudley,144,298,1173,717,110,68,3,817,3322
Glendale - Cardiff - Hillsborough,126,125,1121,779,76,80,10,831,3154
Mount Hutton - Windale,27,54,215,278,25,12,3,465,1079
Redhead,26,15,65,118,10,8,6,87,332
Swansea - Caves Beach,60,66,86,405,94,58,3,329,1102
Valentine - Eleebana,85,19,242,493,63,34,4,260,1207
Warners Bay - Boolaroo,78,81,397,469,53,38,10,416,1534
Bolton Point - Teralba,31,15,141,339,35,16,0,355,929
Bonnells Bay - Silverwater,44,17,159,146,216,68,4,291,954
Edgeworth - Cameron Park,84,66,352,1011,69,61,13,549,2206
Morisset - Cooranbong,77,74,162,239,286,121,3,528,1486
Toronto - Awaba,66,101,152,451,101,46,3,477,1390
Wangi Wangi - Rathmines,48,37,123,265,159,49,0,263,946
West Wallsend - Barnsley - Killingworth,25,26,96,419,24,20,9,264,885
Adamstown - Kotara,72,142,1131,212,47,58,8,469,2150
Beresfield - Hexham,29,56,124,366,17,24,5,417,1035
Hamilton - Broadmeadow,60,234,610,136,53,64,11,432,1590
Lambton - New Lambton,73,262,1050,218,46,63,11,527,2246
Maryland - Fletcher - Minmi,64,44,429,934,47,48,6,518,2085
Mayfield - Warabrook,65,189,947,334,55,75,10,692,2356
Merewether - The Junction,94,238,792,245,55,71,8,339,1834
Newcastle - Cooks Hill,53,429,491,243,50,60,14,430,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,0,5,5
Shortland - Jesmond,28,63,362,235,12,27,5,667,1406
Stockton - Fullerton Cove,32,30,38,354,32,11,11,228,740
Wallsend - Elermore Vale,76,101,972,449,62,53,13,820,2537
Waratah - North Lambton,38,180,690,196,33,50,10,484,1686
Wickham - Carrington - Tighes Hill,60,188,612,178,39,56,7,322,1460
Ballina,68,224,404,156,194,27,17,567,1654
Ballina Region,114,76,177,653,109,27,15,534,1700
Bangalow,92,30,92,156,61,20,15,235,702
Brunswick Heads - Ocean Shores,84,49,120,211,80,69,6,423,1047
Byron Bay,120,191,408,143,68,51,24,510,1510
Evans Head,19,78,19,61,126,15,0,180,501
Lennox Head - Skennars Head,77,72,107,292,126,25,10,232,948
Mullumbimby,82,55,86,179,46,52,6,378,892
Casino,32,222,197,123,126,20,3,559,1288
Casino Region,41,18,20,162,65,27,4,287,628
Goonellabah,51,83,643,196,70,29,10,516,1594
Kyogle,44,58,39,69,92,38,0,292,640
Lismore,51,400,422,108,123,20,5,737,1862
Lismore Region,99,21,121,554,156,43,11,608,1614
Kingscliff - Fingal Head,148,110,226,357,147,72,28,436,1528
Murwillumbah,34,142,163,129,84,24,10,358,941
Murwillumbah Region,81,13,88,217,80,62,7,389,945
Pottsville,140,90,139,427,152,60,26,538,1574
Tweed Heads,93,139,454,429,88,48,28,756,2038
Banora Point,80,81,523,287,71,43,15,444,1553
Terranora - North Tumblegum,27,0,73,122,24,10,4,105,359
Tweed Heads South,29,63,190,111,20,13,6,296,732
Griffith (NSW),61,437,1005,133,7,61,18,853,2565
Griffith Region,84,128,227,314,121,115,11,492,1492
Leeton,38,268,275,76,10,40,5,382,1087
Narrandera,33,149,51,58,43,56,9,234,625
Tumbarumba,18,78,31,37,23,14,0,125,319
Tumut,18,262,92,22,26,24,3,248,691
Tumut Region,26,48,61,122,45,20,5,162,485
Cootamundra,28,217,103,40,28,64,7,263,743
Gundagai,22,71,45,39,42,28,5,123,380
Junee,29,116,41,44,126,35,12,193,592
Temora,43,184,66,53,23,56,5,208,648
Wagga Wagga - East,82,106,1143,175,27,27,17,543,2114
Wagga Wagga - North,22,11,338,55,12,7,3,141,602
Wagga Wagga - South,97,248,1409,207,28,23,39,826,2874
Wagga Wagga - West,35,500,461,52,20,18,21,536,1651
Wagga Wagga Region,91,108,122,448,254,132,11,506,1672
Berry - Kangaroo Valley,67,56,51,244,32,55,7,214,735
Callala Bay - Currarong,13,9,3,119,20,15,4,110,297
Culburra Beach,27,32,19,141,8,14,0,172,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,3
Huskisson - Vincentia,27,44,63,116,18,32,4,130,438
North Nowra - Bomaderry,63,107,663,174,42,75,4,573,1698
Nowra,79,238,847,168,29,74,11,970,2411
St Georges Basin - Erowal Bay,41,69,191,309,113,50,5,544,1322
