SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Orange,819,639,94,57,50,515,162,2334
Orange - North,1098,901,152,55,59,515,144,2918
Orange Region,417,426,75,20,17,216,78,1252
Grafton,564,583,71,65,74,573,118,2049
Grafton Region,309,394,69,45,34,407,115,1369
Maclean - Yamba - Iluka,336,431,52,29,35,343,87,1315
Bellingen,127,232,26,10,17,189,41,642
Coffs Harbour - North,629,659,82,52,41,484,135,2066
Coffs Harbour - South,377,381,39,20,29,243,81,1174
Coramba - Nana Glen - Bucca,108,156,24,7,8,87,39,428
Dorrigo,36,92,18,6,4,80,18,256
Korora - Emerald Beach,343,356,44,21,17,183,52,1019
Sawtell - Boambee,610,782,81,49,62,463,75,2125
Urunga,106,129,10,7,14,87,25,373
Woolgoolga - Arrawarra,407,451,71,24,40,320,104,1414
Bourke - Brewarrina,198,79,13,7,15,130,70,506
Cobar,196,157,30,14,9,154,67,635
Coonamble,135,104,27,16,12,99,66,458
Nyngan - Warren,180,162,16,14,13,108,50,539
Walgett - Lightning Ridge,209,152,34,30,19,216,89,753
Broken Hill,679,558,95,56,52,465,144,2045
Far West,87,39,16,12,3,101,48,300
Coonabarabran,201,244,31,25,11,161,65,747
Dubbo - East,480,360,71,31,22,283,93,1353
Dubbo - South,1017,696,112,52,38,359,148,2421
Dubbo - West,484,311,60,32,25,229,91,1230
Dubbo Region,209,205,42,10,4,90,55,616
Gilgandra,128,141,28,8,6,119,30,454
Narromine,235,194,29,13,12,157,48,705
Wellington,242,191,20,31,30,257,86,862
Branxton - Greta - Pokolbin,460,474,65,28,29,278,83,1420
Cessnock,688,792,131,76,77,710,180,2656
Cessnock Region,269,277,46,14,14,207,102,919
Dungog,279,322,48,21,20,207,58,951
Kurri Kurri - Abermain,619,700,105,71,53,570,122,2240
Singleton,593,719,92,50,75,531,122,2184
Singleton Region,145,190,31,8,12,108,66,563
Maitland,354,305,49,21,18,201,77,1015
Maitland - East,1212,1124,161,74,105,817,162,3652
Maitland - North,335,355,47,12,11,149,46,964
Maitland - West,970,1009,167,84,108,748,142,3223
