SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Wamuran,174,161,23,11,13,67,34,471
Kilcoy,155,178,19,18,12,162,37,578
Woodford - D'Aguilar,241,240,48,14,12,171,80,810
Burpengary,584,560,74,38,46,390,92,1781
Deception Bay,786,688,95,100,106,770,190,2738
Morayfield,169,152,21,9,18,82,23,474
Narangba,1013,903,147,54,59,557,103,2829
Upper Caboolture,117,116,8,4,4,58,25,334
Clontarf,382,306,40,21,17,201,65,1031
Margate - Woody Point,478,385,74,46,56,374,68,1469
Redcliffe,360,285,41,34,35,268,93,1114
Rothwell - Kippa-Ring,669,596,74,61,48,538,102,2086
Scarborough - Newport - Moreton Island,466,353,50,32,24,227,86,1243
Albany Creek,747,642,98,25,40,283,47,1876
Cashmere,1185,925,152,39,55,464,61,2882
Dayboro,358,344,56,9,6,190,67,1031
Eatons Hill,428,383,42,11,22,160,29,1070
The Hills District,1403,1184,219,54,45,470,94,3472
Samford Valley,402,442,67,20,15,224,62,1232
Dakabin - Kallangur,1323,974,165,116,101,839,201,3730
Murrumba Downs - Griffin,1158,781,164,57,73,539,144,2906
North Lakes - Mango Hill,1953,1555,246,137,127,1038,255,5309
Bray Park,560,436,69,35,41,313,54,1496
Lawnton,337,236,38,31,22,161,49,863
Petrie,464,406,54,26,27,225,59,1257
Strathpine - Brendale,590,518,78,61,29,430,76,1783
Aurukun,20,22,0,24,9,94,3,182
Cape York,270,157,25,62,28,306,86,936
Croydon - Etheridge,54,31,4,5,0,26,24,139
Kowanyama - Pormpuraaw,53,44,0,35,11,129,7,274
Northern Peninsula,142,60,15,39,10,116,16,392
Tablelands,144,150,18,13,7,103,57,487
Torres,250,91,34,9,3,102,114,605
Torres Strait Islands,110,93,11,12,21,299,41,587
Weipa,311,139,44,6,7,105,61,674
Carpentaria,208,100,35,38,18,236,67,690
Mount Isa,1232,594,152,67,51,557,321,2972
Mount Isa Region,185,89,18,7,3,82,61,441
Northern Highlands,179,83,19,6,3,75,33,381
Barcaldine - Blackall,226,177,39,3,7,92,36,581
Charleville,239,132,34,9,8,87,42,546
Far Central West,111,56,19,4,0,39,26,256
Far South West,158,72,20,0,5,55,16,329
Longreach,226,99,43,0,8,59,41,479
Buderim - North,583,621,78,32,47,313,80,1755
Buderim - South,618,680,87,33,50,338,72,1876
Mountain Creek,561,639,68,33,50,321,73,1750
Sippy Downs,396,449,40,28,37,308,79,1346
Aroona - Currimundi,349,460,60,17,27,242,18,1176
Buddina - Minyama,239,267,19,18,16,128,29,715
Caloundra - Kings Beach,225,184,29,27,26,115,60,669
Caloundra - West,873,1008,117,52,81,514,116,2759
Golden Beach - Pelican Waters,327,373,50,20,22,222,48,1056
Moffat Beach - Battery Hill,280,326,35,16,22,171,33,881
Parrearra - Warana,386,391,49,31,30,214,64,1159
Wurtulla - Birtinya,322,387,45,23,26,180,56,1038
Coolum Beach,603,756,88,47,41,360,110,2006
Marcoola - Mudjimba,386,444,47,17,36,260,64,1252
Maroochydore - Kuluin,902,792,92,49,53,458,153,2500
Mooloolaba - Alexandra Headland,569,477,59,36,36,230,158,1564
Noosa Heads,121,163,13,0,9,78,28,417
Noosaville,273,274,26,15,27,144,44,807
Sunshine Beach,254,290,26,16,12,134,48,775
Tewantin,282,376,35,17,25,208,44,982
Peregian Beach - Marcus Beach,129,160,16,4,5,74,23,412
Peregian Springs,316,400,36,15,28,226,92,1104
Beerwah,305,334,47,19,31,247,55,1024
Caloundra Hinterland,168,266,30,17,21,155,30,686
Glass House Mountains,212,244,39,15,16,130,28,683
Landsborough,323,453,62,27,29,289,75,1249
Maroochy Hinterland,141,180,26,14,15,133,27,532
Palmwoods,330,447,59,28,13,251,43,1169
Bli Bli,380,402,47,16,25,202,53,1128
Diddillibah - Rosemount,111,152,9,12,7,78,27,394
Eumundi - Yandina,304,428,47,15,45,265,65,1176
Nambour,682,867,115,49,69,601,125,2509
Noosa Hinterland,589,795,95,30,44,509,124,2171
Cambooya - Wyreema,296,323,45,11,20,170,61,928
Darling Heights,639,485,89,66,60,558,104,1988
Drayton - Harristown,413,374,51,33,31,292,95,1294
Gatton,296,302,51,25,27,282,76,1070
Gowrie (Qld),295,293,47,8,7,182,33,872
Highfields,503,569,77,19,32,258,54,1505
Lockyer Valley - West,384,416,56,24,29,301,94,1307
Middle Ridge,275,262,36,10,13,168,15,785
Newtown (Qld),462,359,45,41,35,288,89,1319
North Toowoomba - Harlaxton,237,207,35,24,16,168,57,748
Rangeville,363,301,43,29,18,189,46,988
Toowoomba - Central,643,510,77,46,37,357,114,1784
Toowoomba - East,502,319,41,14,28,206,78,1181
Toowoomba - West,599,594,81,26,28,345,88,1763
Wilsonton,441,471,65,47,51,421,93,1589
Ayr,328,349,32,21,25,177,57,998
Burdekin,240,286,38,20,12,145,31,779
Charters Towers,293,246,36,47,31,197,89,935
Dalrymple,158,112,15,12,13,78,52,430
Ingham,110,125,18,15,7,86,30,397
Ingham Region,156,217,26,9,11,97,37,547
Palm Island,50,48,8,22,20,162,7,315
Aitkenvale,244,154,27,20,19,149,44,664
Annandale,417,319,46,26,24,177,55,1060
Belgian Gardens - Pallarenda,158,108,15,10,10,49,34,380
Bohle Plains,495,341,57,22,19,198,48,1185
Condon - Rasmussen,461,346,56,70,33,370,78,1418
Cranbrook,226,200,37,24,20,184,44,733
Deeragun,1608,1018,227,100,98,707,212,3969
Douglas,448,272,49,26,21,200,53,1070
Garbutt - West End,386,185,43,38,17,162,110,942
Gulliver - Currajong - Vincent,388,287,51,33,18,244,71,1093
Heatley,181,130,27,27,12,128,37,544
Hermit Park - Rosslea,336,208,22,28,18,143,58,805
Hyde Park - Pimlico,257,152,31,27,17,125,34,642
Kelso,502,370,56,72,32,362,106,1504
Kirwan - East,314,262,39,42,20,267,43,988
Kirwan - West,933,646,98,60,46,383,115,2283
Magnetic Island,71,66,9,0,8,45,22,217
Mount Louisa,618,435,89,27,29,263,67,1533
Mundingburra,166,107,20,17,5,67,15,397
Northern Beaches,270,189,39,23,13,149,58,732
Oonoonba,468,311,60,24,28,126,46,1076
South Townsville - Railway Estate,310,183,22,30,15,120,86,772
Townsville - South,181,134,41,19,11,84,26,487
Townsville City - North Ward,636,274,67,50,16,185,157,1388
Wulguru - Roseneath,234,157,39,29,15,245,48,763
Ashfield - Kepnock,195,195,33,18,18,137,19,612
Bargara - Burnett Heads,616,526,74,44,37,367,64,1729
Branyan - Kensington,170,184,22,18,11,127,26,555
Bundaberg,228,163,39,44,32,243,72,814
Bundaberg East - Kalkie,227,233,24,23,21,158,37,718
Bundaberg North - Gooburrum,204,176,28,23,27,169,52,683
Bundaberg Region - North,224,228,21,43,22,250,88,868
Bundaberg Region - South,205,254,31,22,25,218,75,834
Millbank - Avoca,234,265,24,23,9,192,42,792
Svensson Heights - Norville,184,191,15,24,22,166,34,643
Walkervale - Avenell Heights,334,379,42,48,33,360,74,1273
Gayndah - Mundubbera,251,198,22,13,11,142,67,705
Gin Gin,108,93,23,22,12,158,37,451
Kingaroy,380,418,40,28,35,336,59,1301
Kingaroy Region - North,233,231,37,33,26,317,66,934
Kingaroy Region - South,124,148,13,3,5,100,30,419
Monto - Eidsvold,111,93,13,17,3,95,44,375
Nanango,168,221,24,25,19,319,64,835
North Burnett,0,0,0,0,0,0,0,0
Cooloola,84,137,16,14,11,148,31,444
Gympie - North,411,492,59,71,49,476,98,1666
Gympie - South,196,241,29,16,20,208,40,751
Gympie Region,447,605,64,51,60,517,128,1870
Kilkivan,85,91,21,11,5,98,35,356
Booral - River Heads,122,168,23,17,13,119,27,489
Craignish - Dundowran Beach,155,157,22,10,11,97,25,482
Pialba - Eli Waters,405,404,53,64,51,360,85,1408
Point Vernon,132,169,21,19,18,167,36,562
Torquay - Scarness - Kawungan,420,434,65,45,55,363,109,1485
Urangan - Wondunna,396,409,34,52,28,313,93,1335
Burrum - Fraser,204,236,35,42,24,273,68,882
Granville,84,82,10,6,8,99,23,318
Maryborough (Qld),460,480,71,64,57,578,122,1821
Maryborough Region - South,185,160,20,25,14,215,59,680
Tinana,174,191,24,18,19,148,35,604
Migratory - Offshore - Shipping (Qld),3,0,0,0,0,0,0,12
No Usual Address (Qld),302,229,59,110,36,449,334,1518
Adelaide,990,461,82,91,91,605,235,2560
North Adelaide,426,187,24,32,11,166,75,923
Adelaide Hills,206,232,41,3,9,109,36,640
Aldgate - Stirling,612,775,108,17,27,288,64,1889
Hahndorf - Echunga,154,155,31,3,6,61,24,429
Lobethal - Woodside,290,360,68,13,24,177,30,953
Mount Barker,723,859,141,36,47,460,112,2378
Mount Barker Region,233,265,40,6,8,146,37,739
Nairne,254,270,56,9,16,131,34,771
Uraidla - Summertown,198,201,44,9,7,97,22,574
Burnside - Wattle Park,743,690,94,39,55,431,59,2109
Glenside - Beaumont,388,337,52,15,27,180,39,1033
Toorak Gardens,668,564,64,52,49,335,57,1794
Athelstone,374,399,56,19,22,166,18,1060
Paradise - Newton,861,819,119,69,70,511,87,2534
Rostrevor - Magill,974,945,165,74,65,601,86,2911
Norwood (SA),641,426,62,59,37,240,118,1580
Payneham - Felixstow,648,556,91,42,37,318,59,1745
St Peters - Marden,662,558,93,49,34,299,61,1747
Nailsworth - Broadview,395,297,31,29,18,125,37,928
Prospect,739,646,101,54,45,341,86,2017
Walkerville,328,232,35,12,21,143,44,814
Goodwood - Millswood,997,788,143,72,44,393,109,2542
Unley - Parkside,1052,844,135,48,53,419,105,2655
Gawler - North,371,445,69,16,26,231,45,1203
Gawler - South,687,727,121,61,66,516,95,2273
Lewiston - Two Wells,215,238,28,20,11,131,42,683
Craigmore - Blakeview,823,794,135,69,67,662,108,2656
Davoren Park,562,660,96,118,80,1034,187,2731
Elizabeth,153,201,34,74,50,632,104,1262
Elizabeth East,367,433,67,58,46,521,98,1598
Munno Para West - Angle Vale,597,580,115,52,48,493,104,1981
One Tree Hill,69,81,11,7,4,31,13,206
Smithfield - Elizabeth North,252,337,50,85,70,672,105,1566
Virginia - Waterloo Corner,157,114,25,8,3,108,40,451
Enfield - Blair Athol,1080,932,153,120,86,989,210,3561
Northgate - Oakden - Gilles Plains,1358,1183,193,98,82,956,141,4010
Windsor Gardens,1203,1072,191,101,101,732,158,3557
Dry Creek - North,0,0,0,0,0,0,0,0
Ingle Farm,592,623,89,44,45,462,66,1919
Para Hills,596,624,87,56,42,501,70,1977
Parafield,0,0,0,0,0,14,0,16
Parafield Gardens,687,639,112,68,59,737,92,2398
Paralowie,692,706,87,74,67,718,117,2458
Salisbury,554,526,74,108,66,878,112,2309
Salisbury East,664,651,103,69,61,551,89,2194
Salisbury North,741,661,112,91,91,820,132,2650
Mawson Lakes - Globe Derby Park,943,677,123,78,54,503,104,2483
Pooraka - Cavan,355,268,53,46,25,295,53,1091
Golden Grove,461,452,61,21,30,171,32,1238
Greenwith,433,465,51,24,24,177,33,1210
Highbury - Dernancourt,470,432,74,18,33,175,39,1233
Hope Valley - Modbury,723,711,108,56,52,455,79,2188
Modbury Heights,857,823,125,42,49,447,63,2410
Redwood Park,724,775,90,47,32,364,76,2105
St Agnes - Ridgehaven,566,560,82,29,26,248,44,1559
Brighton (SA),580,544,81,21,15,243,54,1534
Glenelg (SA),1053,736,117,64,42,329,156,2506
Edwardstown,768,640,124,55,63,416,106,2161
Hallett Cove,550,524,89,26,40,268,38,1537
Marino - Seaview Downs,424,444,84,21,31,162,41,1202
Mitchell Park,698,683,103,39,57,535,89,2209
Morphettville,761,682,125,37,39,361,94,2106
Sheidow Park - Trott Park,517,629,89,18,22,246,33,1556
Warradale,724,623,120,49,42,455,106,2122
Belair,150,165,28,10,4,57,11,425
Bellevue Heights,239,306,36,9,21,263,28,911
Blackwood,465,576,91,10,25,202,31,1400
Colonel Light Gardens,749,830,134,36,47,317,65,2179
Mitcham (SA),639,660,112,34,28,279,52,1792
Panorama,341,321,65,23,28,213,54,1049
Aberfoyle Park,476,503,94,22,24,256,24,1404
Aldinga,528,718,128,51,59,531,142,2158
Christie Downs,280,342,59,46,20,383,90,1216
Christies Beach,347,364,50,40,33,303,97,1236
Clarendon,83,97,16,4,0,34,5,232
Coromandel Valley,180,219,36,9,0,86,19,542
Flagstaff Hill,447,450,66,17,22,216,44,1263
Hackham - Onkaparinga Hills,220,273,26,15,19,171,12,741
Hackham West - Huntfield Heights,248,292,36,48,31,340,53,1046
Happy Valley,620,680,98,35,33,282,61,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,3
McLaren Vale,194,236,30,8,10,88,25,591
Morphett Vale - East,495,586,106,48,50,418,72,1778
Morphett Vale - West,348,396,58,48,38,337,76,1308
Reynella,445,506,68,28,25,267,45,1385
Seaford (SA),910,1130,177,66,73,640,147,3138
Willunga,89,148,16,3,10,60,18,341
Woodcroft,464,588,83,12,26,227,29,1417
Beverley,425,366,67,24,18,219,54,1176
Flinders Park,678,615,112,39,46,397,68,1954
Henley Beach,659,579,92,31,45,268,79,1750
Hindmarsh - Brompton,1129,742,147,68,50,467,141,2733
Royal Park - Hendon - Albert Park,317,249,52,22,19,151,36,854
Seaton - Grange,730,635,121,49,48,382,99,2056
West Lakes,560,449,84,35,32,283,64,1506
Woodville - Cheltenham,891,668,112,65,52,554,101,2441
Dry Creek - South,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,805,594,102,41,33,283,70,1930
North Haven,637,504,86,48,31,387,63,1755
Port Adelaide,505,419,57,48,30,322,66,1449
The Parks,819,706,103,105,86,811,153,2771
Torrens Island,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0
Fulham,90,101,18,7,3,60,11,294
Lockleys,621,598,84,42,40,369,68,1829
Plympton,1382,1146,186,113,90,690,161,3767
Richmond (SA),1078,815,115,73,54,501,146,2775
West Beach,230,233,24,21,19,85,20,640
Barossa - Angaston,206,245,36,15,15,130,27,679
Light,350,348,65,28,18,236,40,1087
Lyndoch,223,282,36,17,9,120,41,724
Mallala,98,94,16,9,5,92,24,340
Nuriootpa,234,285,45,10,14,132,30,745
Tanunda,175,189,12,3,16,71,20,475
Clare,155,185,27,3,0,75,27,481
Gilbert Valley,111,168,18,11,10,117,36,468
Goyder,75,138,30,8,10,96,21,374
Wakefield - Barunga West,194,356,40,19,12,274,41,936
Jamestown,111,180,34,5,6,85,18,445
Peterborough - Mount Remarkable,102,153,20,11,10,125,25,448
Port Pirie,365,502,89,50,53,410,81,1547
Port Pirie Region,82,131,27,3,7,70,10,332
Kadina,150,197,21,26,16,131,37,578
Moonta,97,124,23,9,12,98,15,383
Wallaroo,85,100,16,9,12,111,18,345
Yorke Peninsula - North,119,216,35,11,4,145,15,547
Yorke Peninsula - South,71,107,9,4,9,68,16,285
Ceduna,104,102,37,4,4,62,46,352
Eyre Peninsula,159,289,37,9,17,116,46,669
Kimba - Cleve - Franklin Harbour,98,203,25,11,8,67,44,445
Le Hunte - Elliston,59,103,15,0,0,50,15,237
Port Lincoln,521,755,85,34,36,368,116,1916
West Coast (SA),98,116,23,4,0,83,49,385
Western,3,0,0,0,0,0,6,10
Whyalla,748,758,121,93,85,717,155,2684
Whyalla - North,0,0,0,0,0,0,0,0
APY Lands,65,57,5,27,9,156,61,379
Coober Pedy,75,35,15,5,0,44,34,204
Quorn - Lake Gilles,54,60,9,4,4,45,14,186
Outback,116,44,7,3,8,52,47,277
Port Augusta,498,432,77,54,33,389,120,1603
Roxby Downs,234,176,41,21,20,111,35,648
Goolwa - Port Elliot,170,312,42,17,12,218,51,833
Kangaroo Island,123,202,31,8,0,72,33,475
Strathalbyn,202,298,33,12,13,189,45,792
Strathalbyn Region,212,293,45,14,13,148,56,771
Victor Harbor,239,430,75,18,27,300,49,1129
Yankalilla,106,190,25,14,8,128,19,483
Grant,156,217,30,10,10,118,28,565
Kingston - Robe,103,141,26,8,3,71,18,358
Millicent,94,194,28,10,19,151,21,507
Naracoorte,219,280,30,14,15,158,32,748
Naracoorte Region,60,100,13,0,0,45,11,226
Penola,95,130,18,12,7,77,17,349
Tatiara,227,298,35,5,9,120,43,737
Wattle Range,69,120,18,7,3,93,19,323
Mount Gambier - East,526,697,77,35,28,356,88,1798
Mount Gambier - West,455,600,68,45,27,381,75,1648
Barmera,173,231,27,18,11,143,28,632
Berri,151,140,20,16,11,129,27,498
Karoonda - Lameroo,78,112,22,4,3,62,22,299
Loxton,170,219,34,10,7,102,18,568
Loxton Region,43,54,9,5,5,41,11,162
Mannum,136,181,11,14,11,137,31,518
Murray Bridge,617,555,85,74,58,528,111,2023
Murray Bridge Region,123,131,24,7,3,67,22,372
Renmark,145,156,15,11,19,141,38,534
Renmark Region,163,197,19,6,11,114,43,553
The Coorong,118,188,18,11,11,166,44,549
Waikerie,147,202,29,12,10,163,30,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0
No Usual Address (SA),71,44,14,29,15,118,76,353
Augusta,147,255,39,5,11,125,54,635
Busselton,836,1139,113,48,83,723,160,3110
Busselton Region,337,608,87,20,16,273,113,1455
Margaret River,389,585,81,20,25,292,96,1483
Australind - Leschenault,654,845,99,54,72,582,135,2449
Capel,175,218,27,11,18,147,32,633
College Grove - Carey Park,221,250,32,36,34,231,57,854
Collie,207,331,38,34,19,311,76,1015
Dardanup,73,122,16,3,16,71,22,324
Davenport,0,0,0,0,0,0,0,0
Eaton - Pelican Point,367,618,72,30,52,385,78,1604
Harvey,215,338,50,27,18,282,74,1005
East Bunbury - Glen Iris,276,296,44,27,27,199,51,918
Waroona,107,123,28,13,18,111,34,436
Dalyellup,409,467,45,30,52,333,77,1410
Gelorup - Stratham,83,109,16,0,8,63,7,286
South Bunbury - Bunbury,491,471,53,48,41,299,107,1502
Withers - Usher,151,210,24,30,28,202,65,713
Bridgetown - Boyup Brook,150,224,32,12,20,146,26,612
Donnybrook - Balingup,158,182,21,14,14,175,53,617
Manjimup,166,219,18,18,6,149,42,616
Pemberton,122,148,17,10,9,90,40,441
Dawesville - Bouvard,208,274,41,22,41,224,49,855
Falcon - Wannanup,246,290,53,30,34,256,55,961
Greenfields,226,301,39,44,40,378,60,1095
Halls Head - Erskine,525,661,79,57,82,502,98,2005
Mandurah,245,250,39,41,32,313,78,1001
Mandurah - East,153,151,24,28,21,144,27,554
Mandurah - North,733,803,113,70,85,663,115,2583
Mandurah - South,237,244,31,39,33,328,61,978
Pinjarra,270,347,41,39,41,321,83,1137
City Beach,158,165,16,3,17,122,24,498
Claremont (WA),374,258,42,17,16,154,80,943
Cottesloe,409,218,51,11,15,150,62,913
Floreat,248,337,51,7,25,164,27,867
Mosman Park - Peppermint Grove,513,377,61,22,29,240,120,1357
Nedlands - Dalkeith - Crawley,587,551,66,42,72,574,94,1991
Swanbourne - Mount Claremont,283,284,40,13,22,182,41,866
Kings Park (WA),0,0,0,0,0,0,0,5
Mount Hawthorn - Leederville,928,549,119,32,36,257,103,2016
Mount Lawley - Inglewood,1239,729,124,40,49,357,235,2772
North Perth,678,448,78,22,31,187,96,1538
Perth City,3404,1406,254,240,167,1121,1149,7740
Subiaco - Shenton Park,1133,594,111,66,49,449,204,2603
Wembley - West Leederville - Glendalough,1249,1008,148,84,95,517,270,3373
Bassendean - Eden Hill - Ashfield,856,671,120,63,59,428,109,2299
Bayswater - Embleton - Bedford,1519,1067,178,95,83,646,195,3783
Maylands,1199,659,119,77,78,444,211,2789
Morley,1174,892,150,100,87,737,161,3298
Noranda,306,289,42,18,22,185,34,901
Chidlow,89,105,18,13,8,63,33,330
Glen Forrest - Darlington,206,267,22,13,14,169,28,724
Helena Valley - Koongamia,255,208,31,22,23,133,28,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0
Mundaring,396,473,62,20,36,344,77,1403
Swan View - Greenmount - Midvale,476,424,62,48,37,354,65,1463
Avon Valley National Park,0,0,0,0,0,0,0,0
Ballajura,752,704,102,93,52,600,85,2391
Beechboro,911,751,108,84,69,1004,160,3092
Bullsbrook,216,180,40,25,18,154,77,699
Ellenbrook,2238,1892,251,153,202,1466,349,6554
Gidgegannup,78,114,14,3,4,63,18,302
Hazelmere - Guildford,245,170,40,15,8,128,37,647
Lockridge - Kiara,617,487,91,48,40,385,109,1772
Malaga,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,209,176,19,30,18,164,51,665
Midland - Guildford,531,343,64,60,37,351,155,1545
Stratton - Jane Brook,333,323,38,19,24,231,43,1011
The Vines,558,398,69,29,47,294,70,1449
Walyunga National Park,0,0,0,0,0,0,0,0
Craigie - Beldon,591,497,81,43,40,328,81,1652
Currambine - Kinross,573,624,81,35,66,369,60,1805
Duncraig,502,729,84,26,40,337,37,1760
Greenwood - Warwick,628,640,84,39,49,315,63,1819
Heathridge - Connolly,470,500,87,27,55,272,57,1473
Hillarys,391,390,55,16,31,236,32,1157
Iluka - Burns Beach,308,411,42,18,35,174,18,1000
Joondalup - Edgewater,689,586,89,55,60,336,74,1894
Kingsley,485,557,75,20,35,275,57,1509
Mullaloo - Kallaroo,415,450,63,20,25,275,67,1324
Ocean Reef,258,282,28,11,31,158,25,781
Padbury,431,376,71,25,34,246,39,1224
Sorrento - Marmion,275,375,53,16,23,156,38,927
Woodvale,278,367,42,17,27,183,15,928
Balcatta - Hamersley,891,683,115,50,53,445,135,2378
Balga - Mirrabooka,889,732,137,135,97,992,261,3243
Dianella,1156,914,133,89,101,642,145,3176
Herdsman,0,0,0,0,0,0,0,0
Innaloo - Doubleview,1477,833,173,61,50,445,256,3288
Karrinyup - Gwelup - Carine,813,964,123,31,60,457,98,2549
Nollamara - Westminster,1463,882,139,129,105,755,276,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0
Scarborough,1629,811,134,62,58,364,261,3310
Stirling - Osborne Park,895,644,100,58,47,397,109,2248
Trigg - North Beach - Watermans Bay,371,307,43,10,18,155,40,948
Tuart Hill - Joondanna,1155,612,124,59,72,386,174,2584
Wembley Downs - Churchlands - Woodlands,632,565,61,26,48,308,62,1707
Yokine - Coolbinia - Menora,976,684,100,56,47,436,168,2462
Alexander Heights - Koondoola,440,410,62,51,49,475,86,1567
Butler - Merriwa - Ridgewood,1100,1046,162,128,105,944,314,3799
Carramar,1026,916,147,72,90,630,146,3019
Clarkson,764,622,113,65,67,549,140,2318
Girrawheen,345,298,57,50,40,387,77,1251
Madeley - Darch - Landsdale,1506,1365,198,86,83,875,145,4251
Marangaroo,446,439,70,45,38,352,57,1457
Mindarie - Quinns Rocks - Jindalee,699,782,93,60,77,517,106,2336
Neerabup National Park,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,662,728,92,30,61,439,88,2098
Wanneroo,1340,1314,209,86,93,756,147,3945
Alkimos - Eglinton,628,457,74,32,40,316,125,1677
Carabooda - Pinjar,17,22,0,4,4,20,10,86
Two Rocks,75,131,23,20,14,99,37,402
Yanchep,392,370,61,25,45,367,101,1369
Armadale - Wungong - Brookdale,728,620,102,138,86,850,218,2745
Ashendon - Lesley,0,0,0,0,0,0,0,0
Camillo - Champion Lakes,207,188,35,29,24,226,31,738
Forrestdale - Harrisdale - Piara Waters,1611,1140,226,117,108,871,114,4193
Kelmscott,360,381,56,49,64,387,103,1401
Mount Nasura - Mount Richon - Bedfordale,268,287,37,17,15,217,45,881
Roleystone,257,310,31,23,19,160,48,841
Seville Grove,488,511,72,59,52,509,86,1778
Belmont - Ascot - Redcliffe,884,547,109,63,48,482,207,2337
East Victoria Park - Carlisle,1333,818,155,97,64,517,271,3252
Kewdale Commercial,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,8,0,8
Rivervale - Kewdale - Cloverdale,1657,989,147,134,149,969,467,4502
Victoria Park - Lathlain - Burswood,1146,674,134,86,64,504,242,2846
Bentley - Wilson - St James,976,800,93,106,123,761,239,3097
Canning Vale - West,451,381,54,34,47,261,32,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0
Cannington - Queens Park,1140,838,130,132,130,924,230,3532
Parkwood - Ferndale - Lynwood,714,542,89,59,58,462,72,1990
Riverton - Shelley - Rossmoyne,513,453,62,39,48,370,38,1527
Welshpool,0,0,0,0,0,0,0,0
Willetton,719,684,67,57,116,545,48,2240
Beckenham - Kenwick - Langford,908,769,119,130,98,861,150,3038
Canning Vale - East,1219,1038,149,94,107,854,107,3572
Gosnells,803,707,94,116,90,932,221,2964
Huntingdale - Southern River,1069,941,126,76,82,798,120,3216
Maddington - Orange Grove - Martin,493,441,90,86,63,616,96,1889
Thornlie,971,908,133,113,102,882,141,3246
Forrestfield - Wattle Grove,1057,820,142,61,71,673,130,2956
High Wycombe,645,490,76,53,49,400,123,1838
Kalamunda - Maida Vale - Gooseberry Hill,482,541,65,28,49,322,63,1544
Lesmurdie - Bickley - Carmel,333,405,54,21,26,243,42,1118
Byford,978,866,127,83,66,645,147,2906
Mundijong,218,247,23,22,13,171,42,735
Serpentine - Jarrahdale,119,141,19,14,10,110,40,451
Como,1131,557,85,56,44,377,157,2409
Manning - Waterford,413,403,53,32,37,314,61,1316
South Perth - Kensington,1020,591,101,69,51,450,208,2485
Banjup,1058,1097,154,61,45,630,100,3148
Bibra Industrial,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0
Coogee,397,389,60,16,19,229,40,1154
Coolbellup,410,351,51,37,43,234,80,1208
Hamilton Hill,525,439,70,56,41,298,138,1569
Henderson,0,0,0,0,0,0,0,0
North Coogee,171,82,20,6,11,52,44,390
South Lake - Cockburn Central,653,461,65,36,64,329,94,1710
Spearwood,480,389,50,28,33,316,86,1387
Success - Hammond Park,1089,854,156,89,72,595,175,3025
Yangebup,381,355,63,34,45,235,71,1189
Beeliar - Wattleup,504,448,68,36,35,286,69,1443
Jandakot,97,78,17,7,8,58,14,271
East Fremantle,349,266,44,15,18,143,43,874
Fremantle,922,617,117,49,40,367,280,2386
Fremantle - South,709,643,109,40,53,373,134,2055
O'Connor (WA),0,0,0,0,0,0,0,0
Bertram - Wellard (West),1038,752,151,113,104,634,154,2946
Calista,268,261,26,58,40,334,83,1072
Hope Valley - Postans,0,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,4
Parmelia - Orelia,400,391,65,67,60,464,141,1586
Casuarina - Wandi,384,239,51,13,21,179,51,937
Applecross - Ardross,455,430,48,27,37,288,59,1346
Bateman,152,146,17,12,14,84,16,434
Bicton - Palmyra,753,597,111,33,40,357,99,1993
Booragoon,639,532,61,33,45,382,99,1791
Bull Creek,269,291,32,14,19,201,23,859
Leeming,428,444,50,23,29,230,33,1239
Melville,715,703,88,31,44,336,76,1988
Murdoch - Kardinya,495,416,59,33,49,306,49,1404
Willagee,256,243,29,20,12,148,42,751
Winthrop,229,185,15,10,9,136,20,605
Baldivis,1865,1646,255,147,169,1396,417,5904
Cooloongup,258,262,37,52,35,316,71,1035
Port Kennedy,537,578,74,71,76,520,118,1968
Rockingham,518,431,72,55,54,431,146,1711
Rockingham Lakes,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,361,378,53,46,35,347,66,1294
Singleton - Golden Bay - Secret Harbour,866,960,129,66,112,780,139,3054
Waikiki,450,492,65,57,57,442,91,1651
Warnbro,391,372,65,62,53,400,102,1450
Albany,495,517,72,26,26,346,77,1561
Albany Region,80,122,20,0,0,82,24,333
Bayonet Head - Lower King,160,217,23,6,11,123,24,558
Denmark,124,200,39,4,14,133,54,571
Gnowangerup,106,134,12,0,5,72,41,369
Katanning,177,137,22,10,9,147,74,578
Kojonup,134,155,25,9,5,115,59,491
Little Grove - Elleker,104,123,17,4,6,54,9,304
McKail - Willyung,332,464,57,19,25,350,69,1319
