SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Flinders,0,38,15,32,28,28,44,34,35,34,25,17,13,7,12,33,389
Hastings - Somers,11,176,118,221,205,223,329,328,281,224,126,78,37,41,25,208,2627
Mornington,10,181,102,167,156,195,268,283,338,292,185,126,78,85,46,165,2674
Mount Eliza,4,209,79,89,109,76,152,122,146,167,154,110,62,97,64,85,1719
Mount Martha,6,178,70,131,115,131,194,224,176,208,149,121,69,85,39,113,2004
Point Nepean,0,108,73,141,147,145,219,172,184,120,103,55,33,39,19,156,1707
Rosebud - McCrae,3,129,72,175,163,178,294,250,220,177,111,66,32,26,12,141,2032
Somerville,7,150,81,127,136,170,245,305,264,244,154,96,49,40,17,154,2249
Ararat,0,38,29,56,57,68,113,114,87,66,50,35,10,10,3,63,792
Ararat Region,6,14,15,20,24,23,29,36,36,21,20,14,7,3,0,50,312
Horsham,6,88,67,128,161,158,244,253,237,202,140,69,34,32,29,124,1987
Horsham Region,4,26,9,28,24,25,38,52,32,33,21,20,7,0,9,21,351
Nhill Region,5,39,39,46,40,60,76,66,65,52,35,25,13,10,9,47,612
St Arnaud,0,8,18,36,28,31,40,27,26,15,14,14,9,7,0,21,297
Stawell,5,43,35,52,72,79,98,108,103,81,35,31,12,9,4,72,850
West Wimmera,0,12,20,20,28,25,33,23,15,20,13,6,7,4,4,18,248
Yarriambiack,6,25,18,50,40,53,80,74,61,45,29,14,5,7,4,59,567
Irymple,0,42,35,55,60,60,93,92,75,63,39,40,13,18,4,54,738
Merbein,0,32,16,53,32,55,65,56,41,25,27,23,6,6,3,40,491
Mildura Region,0,18,21,36,29,25,51,37,31,35,24,13,3,9,3,27,354
Red Cliffs,0,30,22,66,50,62,79,95,68,58,27,15,12,4,0,69,665
Mildura - North,12,136,51,198,210,201,297,288,233,206,136,89,52,19,12,244,2388
Mildura - South,5,105,54,145,128,143,203,255,224,152,127,93,39,31,15,155,1871
Buloke,7,30,11,62,54,60,64,48,38,36,31,15,13,7,4,49,530
Gannawarra,0,35,33,54,55,61,77,67,70,41,24,23,7,6,4,38,583
Kerang,0,17,10,26,31,37,53,48,38,31,15,9,0,3,0,33,362
Robinvale,4,47,19,31,37,48,42,55,39,16,21,3,3,0,0,67,429
Swan Hill,4,81,38,100,91,106,151,169,149,136,73,59,17,22,13,136,1347
Swan Hill Region,3,43,26,61,46,62,63,66,64,51,24,16,6,7,6,82,626
Echuca,6,60,56,117,122,132,202,218,213,191,86,58,35,29,14,123,1673
Kyabram,9,64,44,102,86,101,145,165,115,113,55,42,11,12,7,100,1174
Lockington - Gunbower,3,20,25,41,30,29,43,39,36,26,22,11,3,3,0,44,385
Rochester,4,23,18,35,31,41,56,35,31,21,27,5,8,4,0,29,361
Rushworth,0,26,14,26,28,31,44,38,36,14,17,12,3,0,0,25,328
Cobram,5,39,31,45,67,59,82,86,57,47,38,17,11,10,3,60,645
Moira,0,15,14,21,25,29,27,24,24,21,11,11,3,4,4,15,241
Numurkah,8,49,53,95,108,121,166,142,160,125,57,32,13,17,6,85,1246
Yarrawonga,0,33,28,60,51,75,106,92,80,63,28,20,17,15,11,75,749
Mooroopna,4,51,17,68,84,82,129,140,131,95,41,28,15,9,7,82,979
Shepparton - North,12,149,70,163,163,164,263,274,271,249,204,129,57,48,33,236,2490
Shepparton - South,15,227,78,278,233,235,314,373,309,256,157,95,44,25,19,278,2934
Shepparton Region - East,0,19,9,34,29,41,55,43,36,37,19,12,10,11,4,34,392
Shepparton Region - West,8,68,39,80,97,94,120,132,119,120,57,35,22,23,3,102,1115
Glenelg (Vic.),8,51,40,85,69,69,114,86,64,61,31,25,16,13,5,72,800
Hamilton (Vic.),0,48,37,74,76,83,128,141,131,107,54,43,28,14,11,60,1028
Portland,6,68,54,121,106,108,152,150,102,84,61,23,15,13,4,101,1191
Southern Grampians,0,24,34,46,58,55,60,62,60,46,38,24,7,14,12,40,584
Camperdown,0,13,22,27,35,29,36,27,41,33,18,16,0,4,0,33,341
Colac,3,55,50,117,126,109,185,154,159,120,62,28,20,20,12,86,1307
Colac Region,3,45,21,50,45,49,64,52,58,51,28,15,4,7,0,35,535
Corangamite - North,5,19,30,41,39,60,66,47,38,39,21,20,5,0,3,45,490
Corangamite - South,10,33,36,67,77,54,86,57,68,60,27,20,14,8,10,52,691
Otway,5,22,16,40,19,28,40,19,24,39,18,10,3,11,6,38,334
Moyne - East,7,40,31,52,62,60,77,72,78,53,41,27,8,21,5,51,688
Moyne - West,0,71,28,73,86,90,111,114,111,103,61,35,17,26,0,84,1022
Warrnambool - North,10,120,91,204,189,240,313,354,319,250,162,90,45,41,21,173,2622
Warrnambool - South,3,77,54,113,108,103,165,201,190,157,112,64,32,31,16,133,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (Vic.),5,125,50,171,101,116,113,85,85,68,48,26,23,18,14,238,1271
Alexandra Hills,5,144,62,143,145,171,229,278,277,281,187,111,63,49,17,116,2279
Belmont - Gumdale,4,73,31,40,30,40,69,91,99,104,62,74,37,60,36,42,883
Birkdale,11,130,57,86,95,108,191,204,209,219,169,109,54,62,24,84,1812
Capalaba,5,152,71,150,126,144,244,299,334,280,190,121,65,61,20,94,2344
Thorneside,0,28,10,24,25,21,53,68,74,64,44,29,23,16,5,30,523
Wellington Point,5,81,42,75,71,86,116,133,169,157,116,95,43,61,18,57,1314
Cleveland,3,105,50,83,86,85,138,150,180,180,131,74,45,60,23,71,1464
Ormiston,0,54,15,36,21,30,49,60,55,67,47,55,24,33,14,18,579
Redland Bay,4,138,59,117,104,141,216,211,267,236,127,120,68,61,19,141,2034
Sheldon - Mount Cotton,3,80,49,63,45,64,99,126,138,174,126,99,75,55,18,50,1255
Thornlands,0,131,68,99,92,98,153,176,225,235,164,131,62,61,20,75,1799
Victoria Point,0,122,48,88,88,125,190,190,183,156,130,83,45,33,14,65,1558
Redland Islands,3,35,28,56,78,68,112,77,52,34,27,18,8,11,0,63,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manly - Lota,0,72,25,34,41,44,80,69,97,108,65,62,40,61,32,37,871
Manly West,0,107,37,91,75,72,128,150,179,189,139,117,82,97,16,88,1579
Murarrie,0,51,18,38,26,30,40,61,76,94,76,43,27,46,19,41,686
Tingalpa,0,81,26,64,56,64,113,123,184,191,128,103,63,60,13,74,1341
Wakerley,0,147,60,60,53,73,102,119,136,183,144,129,86,114,44,72,1525
Wynnum,9,134,65,88,83,113,151,184,171,213,146,125,76,86,37,82,1765
Wynnum West - Hemmant,6,137,64,103,115,114,189,270,298,306,179,137,80,65,14,123,2208
Bald Hills,4,85,34,56,59,85,96,135,153,151,81,81,45,49,7,48,1165
Bridgeman Downs,0,80,25,19,34,39,60,62,85,106,84,70,51,67,36,33,858
Carseldine,5,104,40,52,55,43,96,92,142,159,127,115,44,80,14,64,1224
Everton Park,3,96,36,67,53,57,117,137,175,203,151,144,75,102,18,63,1497
McDowall,0,77,26,45,33,44,60,83,92,132,118,96,59,64,20,43,995
Aspley,9,106,47,83,59,74,122,138,142,178,164,146,92,83,19,68,1535
Chermside,6,150,38,70,91,94,131,158,204,187,137,126,58,62,10,131,1657
Chermside West,0,62,32,45,34,52,63,71,89,114,94,71,44,40,7,38,864
Geebung,0,37,7,38,29,27,48,65,76,87,67,59,38,35,4,29,650
Kedron - Gordon Park,8,140,60,92,88,109,141,193,253,297,277,247,149,194,81,184,2521
Stafford,0,92,20,35,59,60,86,120,117,153,119,121,76,81,13,72,1211
