SA2,Not a volunteer,Volunteer,Not stated,Total
Drummoyne - Rodd Point,2090,633,239,2962
Five Dock - Abbotsford,2417,655,232,3302
Balmain,1828,605,241,2674
Leichhardt - Annandale,3495,1112,403,5011
Lilyfield - Rozelle,1871,572,229,2672
Ashfield,3552,766,345,4661
Burwood - Croydon,3392,625,275,4294
Canterbury (North) - Ashbury,1199,334,117,1654
Croydon Park - Enfield,1887,543,124,2546
Dulwich Hill - Lewisham,2286,681,269,3237
Haberfield - Summer Hill,1537,515,133,2179
Homebush,2723,416,348,3488
Strathfield,3196,589,289,4079
Strathfield South,382,106,39,523
Chatswood (East) - Artarmon,4228,1012,368,5601
Chatswood (West) - Lane Cove North,2994,835,224,4061
Lane Cove - Greenwich,2794,969,211,3976
St Leonards - Naremburn,1826,492,191,2511
Willoughby - Castle Cove - Northbridge,2122,870,138,3128
Asquith - Mount Colah,1647,665,78,2386
Berowra - Brooklyn - Cowan,926,436,42,1400
Normanhurst - Thornleigh - Westleigh,1459,637,72,2169
Hornsby - East,1994,417,96,2505
Hornsby - West,1052,371,98,1516
Waitara - Wahroonga (West),1366,338,82,1775
Gordon - Killara,1771,679,105,2561
Lindfield - Roseville,1887,831,105,2825
Pymble,1216,573,67,1853
St Ives,1644,621,63,2329
Turramurra,1255,619,69,1938
Wahroonga (East) - Warrawee,1224,513,66,1803
Cremorne - Cammeray,2716,825,248,3786
Crows Nest - Waverton,3074,877,298,4249
Mosman,2837,944,309,4089
Neutral Bay - Kirribilli,2870,836,346,4048
North Sydney - Lavender Bay,1601,460,239,2295
Balgowlah - Clontarf - Seaforth,1785,667,127,2576
Manly - Fairlight,3143,910,374,4425
Avalon - Palm Beach,833,230,59,1121
Bayview - Elanora Heights,674,276,60,1005
Newport - Bilgola,1033,351,54,1432
Warriewood - Mona Vale,2171,722,147,3038
Beacon Hill - Narraweena,1236,345,71,1659
Cromer,639,198,38,878
Dee Why - North Curl Curl,3536,797,295,4632
Forestville - Killarney Heights,934,452,42,1428
Frenchs Forest - Belrose,1900,753,65,2723
Freshwater - Brookvale,2820,785,261,3863
Manly Vale - Allambie Heights,1682,614,108,2399
Narrabeen - Collaroy,2557,748,206,3515
Terrey Hills - Duffys Forest,234,96,24,351
Camden - Ellis Lane,1154,363,51,1565
Elderslie - Harrington Park,2433,588,129,3150
Mount Annan - Currans Hill,3830,763,194,4783
Bradbury - Wedderburn,2169,462,166,2793
Campbelltown - Woodbine,2087,424,178,2694
Claymore - Eagle Vale - Raby,2328,420,202,2946
Holsworthy Military Area,0,0,0,0
Ingleburn - Denham Court,2285,488,185,2965
Leumeah - Minto Heights,1843,388,120,2356
Macquarie Fields - Glenfield,2846,510,244,3600
Minto - St Andrews,2430,375,148,2954
Rosemeadow - Glen Alpine,2129,429,215,2779
Bargo,513,159,38,716
Douglas Park - Appin,992,281,63,1330
Picton - Tahmoor - Buxton,1546,501,136,2181
The Oaks - Oakdale,800,275,51,1126
Blackheath - Megalong Valley,361,154,46,562
Blaxland - Warrimoo - Lapstone,1552,639,69,2259
Blue Mountains - North,0,0,0,0
Katoomba - Leura,967,369,107,1442
Lawson - Hazelbrook - Linden,874,388,51,1317
Springwood - Winmalee,1763,635,71,2467
Wentworth Falls,415,141,29,586
Blue Mountains - South,0,0,0,0
Cambridge Park,1854,355,118,2327
Castlereagh - Cranebrook,3101,633,217,3954
Emu Plains - Leonay,1440,378,199,2011
Glenmore Park - Regentville,2553,573,129,3253
Jamisontown - South Penrith,1978,421,149,2543
Kingswood - Werrington,2531,501,198,3227
Mulgoa - Luddenham - Orchard Hills,1067,221,99,1382
Penrith,1549,287,150,1981
Warragamba - Silverdale,498,125,29,653
Richmond - Clarendon,1324,368,112,1797
Windsor - Bligh Park,1635,404,114,2155
Yarramundi - Londonderry,571,135,231,942
Erskine Park,648,132,35,814
St Clair,2319,422,161,2902
Colyton - Oxley Park,1308,214,130,1657
St Marys - North St Marys,1873,286,216,2376
Homebush Bay - Silverwater,3058,625,629,4315
Rookwood Cemetery,0,0,0,0
Auburn - Central,2139,219,178,2534
Auburn - North,1572,134,145,1850
Auburn - South,988,135,71,1193
Berala,1092,159,58,1307
Lidcombe,2714,438,229,3377
Regents Park,535,100,46,682
Carlingford,2657,844,127,3636
Ermington - Rydalmere,2436,640,153,3236
Oatlands - Dundas Valley,1988,551,151,2687
Chester Hill - Sefton,1901,280,169,2353
Fairfield - East,1697,214,194,2107
Granville - Clyde,2747,400,292,3435
Greystanes - Pemulwuy,3089,605,176,3872
Guildford - South Granville,2424,333,323,3077
Guildford West - Merrylands West,2554,351,212,3123
Merrylands - Holroyd,3800,527,258,4587
Smithfield Industrial,0,0,0,0
Yennora Industrial,0,0,0,0
North Parramatta,3433,711,407,4560
North Rocks,719,222,20,963
Northmead,3423,715,351,4489
Parramatta - Rosehill,5745,795,676,7217
Toongabbie - Constitution Hill,2379,589,172,3136
Winston Hills,1154,314,30,1497
Pendle Hill - Girraween,1680,300,135,2120
Wentworthville - Westmead,2275,421,138,2838
Epping - North Epping,2820,974,133,3930
Pennant Hills - Cheltenham,1549,683,63,2293
Eastwood - Denistone,2767,741,152,3661
Gladesville - Huntleys Point,1560,490,139,2180
Hunters Hill - Woolwich,711,286,63,1065
Macquarie Park - Marsfield,3056,807,204,4070
North Ryde - East Ryde,1150,393,51,1595
West Ryde - Meadowbank,3121,725,166,4016
Putney,312,102,15,431
Ryde,3613,821,264,4698
Ashcroft - Busby - Miller,1773,185,253,2210
Austral - Greendale,792,143,92,1024
Cobbitty - Leppington,2486,424,227,3141
Badgerys Creek,3,0,3,6
Cecil Hills,750,112,48,913
Green Valley,1453,177,93,1721
Hinchinbrook,1530,193,83,1810
Hoxton Park - Carnes Hill - Horningsea Park,1617,214,92,1921
West Hoxton - Middleton Grange,2127,311,135,2576
Bonnyrigg Heights - Bonnyrigg,1807,219,115,2139
Bossley Park - Abbotsbury,1898,287,102,2286
Cabramatta - Lansvale,3095,301,231,3632
Cabramatta West - Mount Pritchard,1910,249,161,2324
Canley Vale - Canley Heights,2564,225,183,2971
Edensor Park,1040,145,51,1240
Fairfield,2178,225,173,2583
Fairfield - West,2263,224,155,2634
Greenfield Park - Prairiewood,897,104,40,1038
Horsley Park - Kemps Creek,370,71,37,482
Smithfield - Wetherill Park,1967,261,138,2372
St Johns Park - Wakeley,1195,132,62,1391
Wetherill Park Industrial,0,0,0,0
Casula,1808,288,154,2249
Chipping Norton - Moorebank,2242,432,140,2815
Holsworthy - Wattle Grove,2495,628,138,3259
Liverpool,3414,404,615,4436
Lurnea - Cartwright,1265,155,168,1590
Prestons - Edmondson Park,2261,438,138,2836
Warwick Farm,739,88,158,989
Gymea - Grays Point,1643,517,71,2233
Miranda - Yowie Bay,1957,411,122,2492
Sylvania - Taren Point,1383,324,97,1801
Caringbah,1518,296,128,1941
Caringbah South,974,319,44,1339
Cronulla - Kurnell - Bundeena,2811,611,321,3745
Lilli Pilli - Port Hacking - Dolans Bay,218,86,11,310
Woolaware - Burraneer,674,196,35,909
Heathcote - Waterfall,512,227,17,758
Illawong - Alfords Point,844,246,33,1125
Menai - Lucas Heights - Woronora,1874,533,81,2488
Oyster Bay - Como - Jannali,1942,662,85,2697
Royal National Park,3,3,5,8
Sutherland - Kirrawee,2596,668,177,3440
Engadine,1721,599,50,2368
Loftus - Yarrawarrah,647,250,25,925
Woronora Heights,284,96,6,390
Migratory - Offshore - Shipping (NSW),28,0,5,34
No Usual Address (NSW),992,260,466,1716
Alfredton,1195,369,60,1626
Ballarat,950,419,81,1456
Ballarat - North,2132,704,179,3018
Ballarat - South,2388,699,238,3323
Buninyong,495,237,54,783
Delacombe,706,183,50,945
Smythes Creek,295,122,21,441
Wendouree - Miners Rest,1374,350,131,1859
Bacchus Marsh Region,453,178,47,685
Creswick - Clunes,465,239,68,769
Daylesford,523,287,71,878
Gordon (Vic.),335,216,51,602
Avoca,151,102,23,282
Beaufort,231,113,33,376
Golden Plains - North,327,134,30,492
Maryborough (Vic.),503,197,39,737
Maryborough Region,259,146,30,433
Bendigo,1332,428,155,1916
California Gully - Eaglehawk,1073,310,129,1515
East Bendigo - Kennington,1038,341,74,1450
Flora Hill - Spring Gully,787,340,81,1207
Kangaroo Flat - Golden Square,1857,551,190,2601
Maiden Gully,464,212,38,711
Strathfieldsaye,704,382,33,1124
White Hills - Ascot,1275,403,105,1790
Bendigo Region - South,552,246,59,859
Castlemaine,596,358,95,1044
Castlemaine Region,398,273,71,743
Heathcote,245,114,37,392
Kyneton,644,340,86,1069
Woodend,453,264,74,790
Bendigo Region - North,290,123,23,435
Loddon,270,240,72,573
Bannockburn,638,228,40,912
Golden Plains - South,532,259,42,834
Winchelsea,408,174,41,619
Belmont,1399,487,103,1983
Corio - Norlane,2560,506,238,3304
Geelong,1333,375,117,1826
Geelong West - Hamlyn Heights,2098,718,184,3001
Grovedale,2355,722,159,3238
Highton,1780,715,102,2592
Lara,1763,514,133,2410
Leopold,1323,374,65,1762
Newcomb - Moolap,1247,320,116,1680
Newtown (Vic.),858,343,73,1277
North Geelong - Bell Park,1382,349,123,1857
Clifton Springs,1014,371,66,1456
Lorne - Anglesea,277,158,41,468
Ocean Grove - Barwon Heads,2088,824,154,3065
Portarlington,363,143,47,546
Point Lonsdale - Queenscliff,185,84,19,285
Torquay,1786,654,124,2566
Alexandra,328,209,43,583
Euroa,311,193,25,531
Kilmore - Broadford,1193,374,100,1660
Mansfield (Vic.),519,269,95,884
Nagambie,262,114,33,410
Seymour,456,135,78,666
Seymour Region,342,139,55,533
Upper Yarra Valley,12,3,5,21
Yea,172,117,34,320
Benalla,663,264,71,1003
Benalla Region,192,112,32,332
Rutherglen,264,131,20,411
Wangaratta,1479,555,118,2152
Wangaratta Region,559,330,66,957
Beechworth,255,156,38,446
Bright - Mount Beauty,503,296,117,920
Chiltern - Indigo Valley,200,114,25,331
Myrtleford,255,136,21,408
Towong,268,203,46,519
West Wodonga,1463,459,101,2025
Wodonga,2367,700,220,3291
Yackandandah,244,192,19,456
Drouin,1339,507,134,1979
Mount Baw Baw Region,324,198,44,564
Trafalgar (Vic.),604,257,54,919
Warragul,1438,592,139,2165
Alps - East,0,0,0,0
Bairnsdale,1070,382,151,1608
Bruthen - Omeo,447,264,61,772
Lake King,0,0,0,0
Lakes Entrance,586,199,86,872
Orbost,281,196,43,514
Paynesville,310,137,21,468
Foster,399,281,74,756
French Island,4,7,0,12
Korumburra,615,298,61,978
Leongatha,673,424,76,1168
Phillip Island,711,272,77,1058
Wilsons Promontory,0,0,0,4
Wonthaggi - Inverloch,1427,600,167,2192
Churchill,866,333,91,1291
Moe - Newborough,1337,419,122,1881
Morwell,1164,274,175,1612
Traralgon,2606,793,263,3660
Yallourn North - Glengarry,381,128,39,550
Alps - West,0,0,0,0
Longford - Loch Sport,212,117,41,365
Maffra,985,479,112,1570
Rosedale,311,128,32,478
Sale,1253,476,133,1869
Yarram,300,131,42,466
Brunswick,4027,1625,399,6053
Brunswick East,1945,677,191,2812
Brunswick West,1993,693,197,2878
Coburg,3374,1127,263,4771
Pascoe Vale South,1042,296,78,1417
Alphington - Fairfield,1016,415,105,1537
Northcote,3329,1284,334,4950
Thornbury,2666,902,278,3855
Ascot Vale,1939,595,221,2758
Essendon - Aberfeldie,3155,885,317,4352
Flemington,1447,445,212,2111
Moonee Ponds,1750,513,143,2410
Carlton,2141,740,317,3198
Docklands,1982,357,323,2659
East Melbourne,698,270,141,1110
Flemington Racecourse,13,0,12,30
Kensington (Vic.),1817,642,196,2655
Melbourne,6131,1178,1001,8305
North Melbourne,2935,975,508,4416
Parkville,740,287,98,1126
South Yarra - West,842,287,136,1269
Southbank,3547,756,602,4901
West Melbourne,0,0,0,0
Albert Park,1883,604,256,2739
