SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Potts Point - Woolloomooloo,674,1733,1063,178,116,760,4526
Pyrmont - Ultimo,1321,1430,1130,268,275,552,4972
Redfern - Chippendale,950,1727,1231,270,158,607,4934
Surry Hills,632,1518,1017,179,114,479,3947
Sydney - Haymarket - The Rocks,2879,1663,1139,321,253,1122,7380
Waterloo - Beaconsfield,1356,2332,2053,486,428,767,7419
Bondi - Tamarama - Bronte,517,1379,1087,335,310,496,4127
Bondi Beach - North Bondi,649,1803,1235,402,360,659,5109
Bondi Junction - Waverly,463,996,854,322,267,417,3315
Centennial Park,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,506,1510,1159,388,360,486,4413
Dover Heights,192,427,486,259,239,113,1715
Paddington - Moore Park,353,1250,938,278,263,379,3458
Rose Bay - Vaucluse - Watsons Bay,143,321,403,208,233,110,1418
Woollahra,129,483,377,114,127,115,1335
Coogee - Clovelly,546,1771,1537,516,447,467,5284
Malabar - La Perouse - Chifley,377,582,836,432,402,255,2877
Kensington (NSW),443,625,638,207,186,210,2312
Kingsford,528,581,565,259,207,137,2269
Maroubra - North,195,386,452,193,170,86,1477
Maroubra - South,203,440,538,206,198,153,1738
Maroubra - West,318,384,437,197,187,116,1640
Randwick - North,420,1189,1131,333,340,224,3634
Randwick - South,345,823,800,267,210,258,2703
Bass Hill - Georges Hall,641,352,595,397,633,175,2788
Chullora,40,24,46,20,30,21,183
Condell Park,403,212,338,235,372,107,1665
Greenacre - Mount Lewis,812,393,692,446,819,279,3444
Padstow,330,428,596,328,359,103,2143
Panania - Milperra - Picnic Point,462,561,978,605,697,175,3480
Revesby,436,382,618,347,402,115,2295
Yagoona - Birrong,748,413,574,359,579,187,2859
Bankstown - North,730,368,538,306,543,245,2733
Bankstown - South,744,302,460,277,435,253,2461
Belmore - Belfield,573,440,656,401,470,174,2722
Canterbury (South) - Campsie,1444,972,1186,587,734,374,5293
Kingsgrove (North) - Earlwood,424,553,890,518,518,217,3114
Punchbowl,796,327,593,344,639,206,2910
Roselands,384,281,465,284,369,118,1896
Lakemba,683,221,457,344,737,198,2643
Wiley Park,441,208,287,233,409,170,1750
Hurstville,1332,805,893,454,471,231,4184
Mortdale - Penshurst,643,750,1168,521,562,246,3887
Narwee - Beverly Hills,426,352,499,267,314,116,1976
Oatley - Hurstville Grove,197,309,458,290,301,56,1610
Peakhurst - Lugarno,246,381,621,363,427,78,2113
Riverwood,394,310,392,191,230,110,1623
South Hurstville - Blakehurst,845,687,838,460,543,139,3516
Arncliffe - Bardwell Valley,1174,1064,1171,399,445,376,4624
Bexley,887,670,1095,587,655,253,4146
Kingsgrove (South) - Bardwell Park,263,323,499,241,277,80,1679
Kogarah,524,388,581,291,290,135,2204
Kogarah Bay - Carlton - Allawah,529,463,701,363,376,133,2562
Monterey - Brighton-le-Sands - Kyeemagh,383,427,579,292,311,207,2200
Rockdale - Banksia,1006,706,922,430,449,243,3745
Sans Souci - Ramsgate,282,415,627,290,365,156,2135
Concord - Mortlake - Cabarita,394,622,904,473,428,154,2966
Concord West - North Strathfield,1326,1155,1411,582,613,355,5432
Drummoyne - Rodd Point,282,758,934,348,394,248,2962
Five Dock - Abbotsford,348,732,1091,447,454,226,3302
Balmain,214,746,854,311,308,249,2674
Leichhardt - Annandale,407,1331,1635,649,573,401,5011
Lilyfield - Rozelle,186,739,870,349,293,230,2672
Ashfield,1017,1039,1278,531,446,356,4661
Burwood - Croydon,1256,916,992,436,409,282,4294
Canterbury (North) - Ashbury,218,354,525,233,192,118,1654
Croydon Park - Enfield,394,509,741,363,417,124,2546
Dulwich Hill - Lewisham,308,968,1035,381,276,276,3237
Haberfield - Summer Hill,236,558,704,280,253,141,2179
Homebush,831,617,835,405,451,344,3488
Strathfield,1132,866,897,429,460,292,4079
Strathfield South,80,95,160,68,77,41,523
Chatswood (East) - Artarmon,1203,1224,1459,616,744,355,5601
Chatswood (West) - Lane Cove North,545,1038,1232,513,510,221,4061
Lane Cove - Greenwich,389,907,1257,616,590,217,3976
St Leonards - Naremburn,303,664,835,256,260,194,2511
Willoughby - Castle Cove - Northbridge,268,547,899,605,663,142,3128
Asquith - Mount Colah,195,361,773,490,475,81,2386
Berowra - Brooklyn - Cowan,86,189,464,296,320,45,1400
Normanhurst - Thornleigh - Westleigh,165,310,702,476,449,72,2169
Hornsby - East,472,464,692,370,415,100,2505
Hornsby - West,185,240,471,263,261,99,1516
Waitara - Wahroonga (West),294,311,499,284,318,78,1775
Gordon - Killara,356,463,707,430,497,107,2561
Lindfield - Roseville,316,550,781,519,549,109,2825
Pymble,187,312,542,362,378,67,1853
St Ives,281,346,699,478,457,65,2329
Turramurra,144,324,582,389,434,68,1938
Wahroonga (East) - Warrawee,202,335,503,338,356,72,1803
Cremorne - Cammeray,310,1181,1269,389,372,258,3786
Crows Nest - Waverton,387,1323,1442,440,351,305,4249
Mosman,385,1079,1220,537,560,316,4089
Neutral Bay - Kirribilli,465,1419,1246,320,249,344,4048
North Sydney - Lavender Bay,288,763,669,178,160,239,2295
Balgowlah - Clontarf - Seaforth,207,485,774,462,514,127,2576
Manly - Fairlight,498,1450,1289,452,356,377,4425
Avalon - Palm Beach,68,166,324,238,268,57,1121
Bayview - Elanora Heights,80,151,294,215,208,64,1005
Newport - Bilgola,93,265,458,288,279,52,1432
Warriewood - Mona Vale,208,518,1036,572,562,148,3038
Beacon Hill - Narraweena,176,261,563,328,263,71,1659
Cromer,78,138,278,184,162,38,878
Dee Why - North Curl Curl,652,1082,1422,571,595,314,4632
Forestville - Killarney Heights,102,198,469,289,318,48,1428
Frenchs Forest - Belrose,216,414,873,634,524,62,2723
Freshwater - Brookvale,379,1015,1214,522,461,267,3863
Manly Vale - Allambie Heights,202,455,747,439,446,114,2399
Narrabeen - Collaroy,264,829,1120,553,532,203,3515
Terrey Hills - Duffys Forest,29,56,121,65,60,21,351
Camden - Ellis Lane,105,232,523,306,349,53,1565
Elderslie - Harrington Park,246,417,1021,672,660,128,3150
Mount Annan - Currans Hill,435,637,1617,946,945,206,4783
Bradbury - Wedderburn,395,368,784,479,590,177,2793
Campbelltown - Woodbine,427,429,781,374,495,190,2694
Claymore - Eagle Vale - Raby,510,412,795,427,587,209,2946
Holsworthy Military Area,0,0,0,0,0,0,0
Ingleburn - Denham Court,462,435,803,463,604,193,2965
Leumeah - Minto Heights,369,370,659,388,436,132,2356
Macquarie Fields - Glenfield,690,450,869,552,786,251,3600
Minto - St Andrews,562,382,742,447,651,167,2954
Rosemeadow - Glen Alpine,446,409,683,447,576,220,2779
Bargo,45,81,223,150,176,46,716
Douglas Park - Appin,102,159,443,292,275,69,1330
Picton - Tahmoor - Buxton,169,295,631,431,512,137,2181
The Oaks - Oakdale,95,154,340,228,253,54,1126
Blackheath - Megalong Valley,34,76,202,93,118,46,562
Blaxland - Warrimoo - Lapstone,114,338,749,490,499,66,2259
Blue Mountains - North,0,0,0,0,0,0,0
Katoomba - Leura,130,247,434,250,270,106,1442
Lawson - Hazelbrook - Linden,64,193,401,298,302,52,1317
Springwood - Winmalee,145,326,830,526,577,77,2467
Wentworth Falls,49,86,186,110,132,32,586
Blue Mountains - South,0,0,0,0,0,0,0
Cambridge Park,237,342,758,404,475,122,2327
Castlereagh - Cranebrook,420,511,1278,710,811,217,3954
Emu Plains - Leonay,148,277,635,375,383,199,2011
Glenmore Park - Regentville,306,459,1054,614,683,145,3253
Jamisontown - South Penrith,260,415,775,454,488,156,2543
Kingswood - Werrington,470,425,976,525,625,203,3227
Mulgoa - Luddenham - Orchard Hills,125,166,459,233,301,99,1382
Penrith,256,340,606,295,335,151,1981
Warragamba - Silverdale,42,64,209,136,168,31,653
Richmond - Clarendon,191,273,573,277,367,115,1797
Windsor - Bligh Park,216,303,650,376,498,111,2155
Yarramundi - Londonderry,76,92,201,153,185,233,942
Erskine Park,103,108,252,145,172,38,814
St Clair,390,428,858,485,574,163,2902
Colyton - Oxley Park,309,245,410,237,319,133,1657
St Marys - North St Marys,461,315,601,323,445,232,2376
Homebush Bay - Silverwater,701,868,1124,484,507,642,4315
Rookwood Cemetery,0,0,0,0,0,0,0
Auburn - Central,828,321,447,262,484,191,2534
Auburn - North,585,218,337,216,352,152,1850
Auburn - South,355,157,233,145,220,74,1193
Berala,391,208,274,138,239,59,1307
Lidcombe,919,649,752,357,468,230,3377
Regents Park,169,97,162,100,112,39,682
Carlingford,628,619,897,593,771,129,3636
Ermington - Rydalmere,515,534,875,533,613,160,3236
Oatlands - Dundas Valley,513,436,706,392,492,153,2687
Chester Hill - Sefton,597,280,515,310,468,184,2353
Fairfield - East,632,270,386,241,373,203,2107
Granville - Clyde,972,468,673,416,613,298,3435
Greystanes - Pemulwuy,593,535,1094,668,790,178,3872
Guildford - South Granville,860,317,533,364,669,333,3077
Guildford West - Merrylands West,801,418,692,398,565,241,3123
Merrylands - Holroyd,1170,627,1010,626,871,284,4587
Smithfield Industrial,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0
North Parramatta,796,853,1225,561,692,419,4560
North Rocks,105,143,290,173,229,18,963
Northmead,771,675,1139,725,817,353,4489
Parramatta - Rosehill,1857,1021,1609,938,1114,677,7217
Toongabbie - Constitution Hill,510,465,863,528,604,169,3136
Winston Hills,160,204,499,307,302,30,1497
Pendle Hill - Girraween,449,236,478,376,439,140,2120
Wentworthville - Westmead,610,315,686,478,612,139,2838
Epping - North Epping,762,786,1000,625,625,132,3930
Pennant Hills - Cheltenham,257,408,638,437,488,67,2293
Eastwood - Denistone,808,709,895,514,573,166,3661
Gladesville - Huntleys Point,225,512,646,332,328,137,2180
Hunters Hill - Woolwich,99,223,309,176,197,63,1065
Macquarie Park - Marsfield,844,881,1153,516,465,208,4070
North Ryde - East Ryde,216,306,495,278,245,49,1595
West Ryde - Meadowbank,757,820,1174,530,557,174,4016
Putney,40,75,135,90,75,19,431
Ryde,849,923,1346,641,672,273,4698
Ashcroft - Busby - Miller,629,257,369,215,455,276,2210
Austral - Greendale,144,137,245,164,239,94,1024
Cobbitty - Leppington,345,454,987,522,617,226,3141
Badgerys Creek,3,0,0,0,0,3,6
Cecil Hills,192,131,244,139,149,48,913
Green Valley,520,223,380,227,287,86,1721
Hinchinbrook,454,286,432,229,323,85,1810
Hoxton Park - Carnes Hill - Horningsea Park,413,235,510,299,362,91,1921
West Hoxton - Middleton Grange,487,351,658,437,495,146,2576
Bonnyrigg Heights - Bonnyrigg,587,345,470,262,354,122,2139
Bossley Park - Abbotsbury,602,390,517,308,370,108,2286
Cabramatta - Lansvale,1344,551,639,359,479,262,3632
Cabramatta West - Mount Pritchard,663,287,512,288,402,173,2324
