SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Glendenning - Dean Park,18,115,10,715,12,469,1340
Hassall Grove - Plumpton,50,248,20,1587,37,1049,2996
Lethbridge Park - Tregear,36,205,14,1358,32,1517,3165
Mount Druitt - Whalan,35,153,10,1417,38,1787,3445
Prospect Reservoir,0,0,0,0,0,7,6
Rooty Hill - Minchinbury,61,308,27,1610,39,1000,3038
Banksmeadow,0,0,0,3,0,0,7
Botany,82,151,18,1107,9,402,1772
Mascot - Eastlakes,152,255,19,2740,33,1283,4481
Pagewood - Hillsdale - Daceyville,61,120,14,894,21,568,1672
Port Botany Industrial,0,0,0,0,0,0,0
Sydney Airport,0,0,0,10,0,11,18
Marrickville,293,496,53,3177,48,1215,5283
Petersham - Stanmore,272,477,42,2703,27,915,4439
Sydenham - Tempe - St Peters,88,170,16,969,15,311,1560
Darlinghurst,80,157,8,1671,22,650,2583
Erskineville - Alexandria,255,447,43,2831,41,705,4321
Glebe - Forest Lodge,278,356,15,2380,22,1107,4165
Newtown - Camperdown - Darlington,388,555,50,3240,39,1223,5489
Potts Point - Woolloomooloo,232,240,26,2895,26,1111,4526
Pyrmont - Ultimo,111,139,19,3081,44,1579,4972
Redfern - Chippendale,224,353,27,2888,35,1413,4934
Surry Hills,141,215,11,2638,30,908,3947
Sydney - Haymarket - The Rocks,73,151,9,4372,117,2663,7380
Waterloo - Beaconsfield,293,427,40,4577,62,2026,7419
Bondi - Tamarama - Bronte,101,269,16,2749,34,958,4127
Bondi Beach - North Bondi,99,290,12,3443,44,1214,5109
Bondi Junction - Waverly,93,193,10,2169,21,826,3315
Centennial Park,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,105,214,14,2983,39,1067,4413
Dover Heights,52,120,10,1117,20,405,1715
Paddington - Moore Park,120,231,15,2363,20,704,3458
Rose Bay - Vaucluse - Watsons Bay,34,65,3,889,10,412,1418
Woollahra,38,90,0,909,11,291,1335
Coogee - Clovelly,270,508,32,3368,27,1067,5284
Malabar - La Perouse - Chifley,125,286,33,1601,27,807,2877
Kensington (NSW),153,182,5,1244,8,715,2312
Kingsford,120,173,11,1146,17,810,2269
Maroubra - North,73,141,10,920,13,326,1477
Maroubra - South,70,160,10,1006,13,475,1738
Maroubra - West,65,127,4,952,15,484,1640
Randwick - North,189,346,20,2383,22,680,3634
Randwick - South,162,315,14,1566,15,630,2703
Bass Hill - Georges Hall,35,163,9,1227,25,1318,2788
Chullora,4,15,0,95,0,71,183
Condell Park,10,94,11,787,14,753,1665
Greenacre - Mount Lewis,41,149,13,1387,47,1811,3444
Padstow,51,193,8,1247,31,616,2143
Panania - Milperra - Picnic Point,96,402,26,1997,24,931,3480
Revesby,51,208,12,1251,23,739,2295
Yagoona - Birrong,40,175,3,1265,25,1354,2859
Bankstown - North,41,106,3,1091,28,1459,2733
Bankstown - South,21,105,5,1010,20,1298,2461
Belmore - Belfield,66,162,18,1452,29,999,2722
Canterbury (South) - Campsie,75,282,22,2842,80,1994,5293
Kingsgrove (North) - Earlwood,95,300,25,1816,36,842,3114
Punchbowl,37,117,6,1176,38,1531,2910
Roselands,41,125,10,987,19,714,1896
Lakemba,22,67,3,785,29,1736,2643
Wiley Park,19,58,3,637,17,1023,1750
Hurstville,67,162,9,2344,55,1544,4184
Mortdale - Penshurst,108,334,21,2327,40,1064,3887
Narwee - Beverly Hills,50,137,8,1079,26,676,1976
Oatley - Hurstville Grove,55,176,10,980,9,387,1610
Peakhurst - Lugarno,67,234,15,1233,19,550,2113
Riverwood,33,78,5,863,11,641,1623
South Hurstville - Blakehurst,55,225,13,2069,40,1117,3516
Arncliffe - Bardwell Valley,112,265,22,2746,58,1429,4624
Bexley,99,312,18,2355,44,1323,4146
Kingsgrove (South) - Bardwell Park,51,165,6,980,25,450,1679
Kogarah,45,202,6,1278,26,652,2204
Kogarah Bay - Carlton - Allawah,50,198,12,1535,23,735,2562
Monterey - Brighton-le-Sands - Kyeemagh,66,141,10,1292,33,660,2200
Rockdale - Banksia,82,192,19,2275,51,1131,3745
Sans Souci - Ramsgate,53,183,13,1305,17,569,2135
Concord - Mortlake - Cabarita,58,260,18,1858,28,738,2966
Concord West - North Strathfield,135,335,20,3129,42,1767,5432
Drummoyne - Rodd Point,94,263,25,1902,21,661,2962
Five Dock - Abbotsford,112,287,14,2109,14,764,3302
Balmain,97,175,8,1755,8,636,2674
Leichhardt - Annandale,291,513,32,3105,28,1036,5011
Lilyfield - Rozelle,117,210,11,1729,23,585,2672
Ashfield,162,375,25,2692,35,1373,4661
Burwood - Croydon,86,254,18,2440,63,1427,4294
Canterbury (North) - Ashbury,62,162,21,1001,11,393,1654
Croydon Park - Enfield,80,237,26,1498,27,676,2546
Dulwich Hill - Lewisham,189,379,25,1924,24,689,3237
Haberfield - Summer Hill,99,249,21,1339,8,460,2179
Homebush,68,206,7,1852,35,1318,3488
Strathfield,59,214,12,2377,68,1339,4079
Strathfield South,16,35,4,297,9,169,523
Chatswood (East) - Artarmon,155,292,6,3261,61,1828,5601
Chatswood (West) - Lane Cove North,126,312,18,2636,23,943,4061
Lane Cove - Greenwich,128,334,15,2576,19,900,3976
St Leonards - Naremburn,88,179,7,1645,11,582,2511
Willoughby - Castle Cove - Northbridge,81,203,15,1973,13,835,3128
Asquith - Mount Colah,60,287,15,1452,16,559,2386
Berowra - Brooklyn - Cowan,32,177,8,893,10,278,1400
Normanhurst - Thornleigh - Westleigh,75,214,13,1338,16,515,2169
Hornsby - East,60,175,12,1462,19,784,2505
Hornsby - West,36,110,15,896,6,456,1516
Waitara - Wahroonga (West),50,131,9,1015,17,562,1775
Gordon - Killara,62,140,10,1534,24,794,2561
Lindfield - Roseville,87,225,12,1748,20,742,2825
Pymble,59,138,11,1179,11,457,1853
St Ives,60,145,4,1451,18,646,2329
Turramurra,68,156,10,1240,9,452,1938
Wahroonga (East) - Warrawee,56,176,6,1100,10,460,1803
Cremorne - Cammeray,104,272,22,2637,23,727,3786
Crows Nest - Waverton,190,354,19,2865,38,784,4249
Mosman,106,230,14,2642,31,1066,4089
Neutral Bay - Kirribilli,133,282,19,2830,28,764,4048
North Sydney - Lavender Bay,85,149,6,1509,14,534,2295
Balgowlah - Clontarf - Seaforth,53,161,24,1690,11,630,2576
Manly - Fairlight,87,282,35,3072,29,921,4425
Avalon - Palm Beach,16,61,9,739,11,284,1121
Bayview - Elanora Heights,16,64,14,677,9,232,1005
Newport - Bilgola,15,99,12,985,8,312,1432
Warriewood - Mona Vale,35,261,39,2070,18,611,3038
Beacon Hill - Narraweena,24,125,21,1112,17,357,1659
Cromer,22,75,13,586,15,177,878
Dee Why - North Curl Curl,67,318,51,3096,45,1052,4632
Forestville - Killarney Heights,28,102,8,941,5,341,1428
Frenchs Forest - Belrose,45,252,32,1835,23,533,2723
Freshwater - Brookvale,71,309,40,2628,27,790,3863
Manly Vale - Allambie Heights,57,182,24,1614,15,513,2399
Narrabeen - Collaroy,38,300,38,2399,31,701,3515
Terrey Hills - Duffys Forest,4,24,0,237,8,79,351
Camden - Ellis Lane,22,273,24,908,11,331,1565
Elderslie - Harrington Park,68,462,21,1846,26,722,3150
Mount Annan - Currans Hill,110,724,56,2741,41,1112,4783
Bradbury - Wedderburn,39,254,16,1320,22,1131,2793
Campbelltown - Woodbine,55,288,17,1313,18,999,2694
Claymore - Eagle Vale - Raby,45,247,23,1493,36,1104,2946
Holsworthy Military Area,0,0,0,0,0,0,0
Ingleburn - Denham Court,71,260,12,1442,22,1160,2965
Leumeah - Minto Heights,46,226,15,1245,20,803,2356
Macquarie Fields - Glenfield,71,283,18,1675,26,1532,3600
Minto - St Andrews,50,199,27,1452,19,1208,2954
Rosemeadow - Glen Alpine,34,263,25,1295,24,1125,2779
Bargo,0,74,15,420,14,192,716
Douglas Park - Appin,25,182,28,808,4,286,1330
Picton - Tahmoor - Buxton,36,252,31,1195,9,655,2181
The Oaks - Oakdale,31,108,10,676,8,292,1126
Blackheath - Megalong Valley,14,45,9,308,0,181,562
Blaxland - Warrimoo - Lapstone,111,404,41,1193,9,500,2259
Blue Mountains - North,0,0,0,0,0,0,0
Katoomba - Leura,33,129,33,749,7,495,1442
Lawson - Hazelbrook - Linden,40,201,15,681,13,382,1317
Springwood - Winmalee,99,429,45,1339,15,549,2467
Wentworth Falls,5,66,15,304,4,195,586
Blue Mountains - South,0,0,0,0,0,0,0
Cambridge Park,51,249,24,1298,18,680,2327
Castlereagh - Cranebrook,114,438,33,2230,23,1108,3954
Emu Plains - Leonay,62,303,30,1071,19,534,2011
Glenmore Park - Regentville,109,458,40,1912,29,709,3253
Jamisontown - South Penrith,72,318,23,1408,16,708,2543
Kingswood - Werrington,85,363,22,1618,38,1106,3227
Mulgoa - Luddenham - Orchard Hills,15,170,13,811,14,352,1382
Penrith,65,197,10,1012,9,690,1981
Warragamba - Silverdale,9,64,0,405,5,170,653
Richmond - Clarendon,83,134,14,992,8,566,1797
Windsor - Bligh Park,62,202,13,1163,15,705,2155
Yarramundi - Londonderry,14,69,4,454,15,382,942
Erskine Park,18,78,4,495,3,207,814
St Clair,62,274,30,1662,25,847,2902
Colyton - Oxley Park,23,102,13,845,10,664,1657
St Marys - North St Marys,27,148,11,1122,17,1055,2376
Homebush Bay - Silverwater,81,345,14,2242,32,1601,4315
Rookwood Cemetery,0,0,0,0,0,0,0
Auburn - Central,20,91,6,944,34,1430,2534
Auburn - North,14,49,4,757,26,1002,1850
Auburn - South,12,41,3,495,13,623,1193
Berala,23,71,6,590,18,604,1307
Lidcombe,67,176,10,1770,66,1287,3377
Regents Park,9,42,0,312,6,313,682
Carlingford,107,252,17,2008,32,1225,3636
Ermington - Rydalmere,111,227,14,1788,30,1057,3236
Oatlands - Dundas Valley,87,175,10,1466,21,945,2687
